date;Action and adventure films;Queensland holidays;Joko Widodo;US education;air travel;isPartial
2022-01-02;0;1;1;6;87;False
2022-01-09;0;5;0;11;100;False
2022-01-16;0;2;1;7;74;False
2022-01-23;0;1;4;5;82;False
2022-01-30;1;1;0;8;94;False
2022-02-06;0;1;0;8;93;False
2022-02-13;1;1;0;8;94;False
2022-02-20;1;5;0;7;95;False
2022-02-27;0;0;0;9;83;False
2022-03-06;0;0;0;10;88;False
2022-03-13;0;0;0;8;87;False
2022-03-20;0;1;0;9;85;False
2022-03-27;1;1;0;11;90;False
2022-04-03;0;0;3;8;84;False
2022-04-10;0;1;0;3;71;False
2022-04-17;0;1;1;5;78;False
2022-04-24;0;1;0;7;82;False
2022-05-01;0;1;0;3;84;False
2022-05-08;0;1;0;9;87;False
2022-05-15;0;0;1;5;90;False
2022-05-22;1;1;0;8;85;False
2022-05-29;0;0;2;10;87;False
2022-06-05;1;2;0;6;97;False
2022-06-12;0;2;0;7;87;False
2022-06-19;0;1;0;7;79;False
2022-06-26;3;0;2;7;85;False
2022-07-03;0;3;0;3;89;False
2022-07-10;0;1;0;9;92;False
2022-07-17;0;0;0;5;88;False
2022-07-24;1;1;0;7;87;False
2022-07-31;0;1;1;4;78;False
2022-08-07;0;0;1;5;76;False
2022-08-14;0;2;0;6;75;False
2022-08-21;0;0;1;8;65;False
2022-08-28;0;0;2;6;72;False
2022-09-04;0;2;1;7;77;False
2022-09-11;0;2;1;7;67;False
2022-09-18;0;0;2;6;66;False
2022-09-25;0;2;0;10;66;False
2022-10-02;0;0;1;5;63;False
2022-10-09;0;1;0;11;62;False
2022-10-16;0;0;0;9;55;False
2022-10-23;0;0;1;4;52;False
2022-10-30;0;0;1;6;51;False
2022-11-06;0;0;2;10;58;False
2022-11-13;0;0;3;7;48;False
2022-11-20;0;1;0;5;60;False
2022-11-27;0;1;1;8;59;False
2022-12-04;0;0;1;9;50;False
2022-12-11;0;2;1;5;52;False
2022-12-18;0;0;0;3;48;False
2022-12-25;0;0;0;7;64;False
2023-01-01;0;2;0;9;74;False
2023-01-08;0;1;1;5;69;False
2023-01-15;0;3;0;14;67;False
2023-01-22;0;2;0;6;62;False
2023-01-29;0;0;0;7;67;False
