date;London Symphony Orchestra;British Virgin Islands;Meat;cody fisher;air travel;isPartial
2022-01-02;0;1;43;0;3;False
2022-01-09;0;0;36;0;3;False
2022-01-16;0;1;100;0;2;False
2022-01-23;0;1;49;0;3;False
2022-01-30;0;1;42;0;3;False
2022-02-06;0;0;37;0;3;False
2022-02-13;0;1;37;0;3;False
2022-02-20;0;1;36;0;3;False
2022-02-27;0;0;34;0;3;False
2022-03-06;0;1;36;0;3;False
2022-03-13;0;0;33;0;3;False
2022-03-20;0;1;37;0;3;False
2022-03-27;0;1;36;0;3;False
2022-04-03;0;1;34;0;3;False
2022-04-10;0;0;39;0;2;False
2022-04-17;0;0;35;0;3;False
2022-04-24;0;3;33;0;3;False
2022-05-01;0;1;36;0;3;False
2022-05-08;0;0;35;0;3;False
2022-05-15;0;0;36;0;3;False
2022-05-22;0;0;35;0;3;False
2022-05-29;0;0;34;0;3;False
2022-06-05;0;1;34;0;3;False
2022-06-12;0;0;34;0;3;False
2022-06-19;0;0;33;0;3;False
2022-06-26;0;0;34;0;3;False
2022-07-03;0;0;37;0;3;False
2022-07-10;0;0;34;0;3;False
2022-07-17;0;0;32;0;3;False
2022-07-24;0;1;35;0;3;False
2022-07-31;0;1;33;0;3;False
2022-08-07;0;1;33;0;2;False
2022-08-14;0;1;31;0;2;False
2022-08-21;0;0;35;0;2;False
2022-08-28;0;0;37;0;2;False
2022-09-04;0;0;34;0;3;False
2022-09-11;0;0;33;0;2;False
2022-09-18;0;0;38;0;2;False
2022-09-25;0;0;37;0;2;False
2022-10-02;0;0;34;0;2;False
2022-10-09;0;0;36;0;2;False
2022-10-16;0;0;36;0;2;False
2022-10-23;0;1;36;0;2;False
2022-10-30;0;0;36;0;2;False
2022-11-06;0;0;38;0;2;False
2022-11-13;0;0;38;0;2;False
2022-11-20;0;0;35;0;2;False
2022-11-27;0;0;36;0;2;False
2022-12-04;0;0;37;0;2;False
2022-12-11;0;0;39;0;2;False
2022-12-18;0;0;54;0;2;False
2022-12-25;0;1;47;12;2;False
2023-01-01;0;1;39;2;2;False
2023-01-08;0;1;39;1;2;False
2023-01-15;0;1;39;0;2;False
2023-01-22;0;0;37;0;2;False
2023-01-29;0;1;38;0;2;False
