date;Veterinary science;Governance;south korea;Indigenous peoples;air travel;isPartial
2022-01-02;0;5;7;0;5;False
2022-01-09;0;7;6;0;5;False
2022-01-16;0;7;5;0;4;False
2022-01-23;0;8;6;0;4;False
2022-01-30;0;7;7;0;5;False
2022-02-06;0;7;7;0;5;False
2022-02-13;0;6;6;0;5;False
2022-02-20;0;7;8;0;5;False
2022-02-27;0;7;7;0;5;False
2022-03-06;0;8;9;0;5;False
2022-03-13;0;8;8;0;5;False
2022-03-20;0;8;9;0;5;False
2022-03-27;0;7;8;0;5;False
2022-04-03;0;7;7;0;4;False
2022-04-10;0;6;6;0;4;False
2022-04-17;0;6;6;0;4;False
2022-04-24;0;7;6;0;4;False
2022-05-01;0;7;7;0;5;False
2022-05-08;0;7;7;0;5;False
2022-05-15;0;7;7;0;5;False
2022-05-22;0;7;6;0;5;False
2022-05-29;0;5;11;0;5;False
2022-06-05;0;6;9;0;5;False
2022-06-12;0;6;8;0;5;False
2022-06-19;0;6;6;0;4;False
2022-06-26;0;6;6;0;5;False
2022-07-03;0;6;6;0;5;False
2022-07-10;0;6;8;0;5;False
2022-07-17;0;6;6;0;5;False
2022-07-24;0;6;7;0;5;False
2022-07-31;0;6;6;0;4;False
2022-08-07;0;5;11;0;4;False
2022-08-14;0;5;7;0;4;False
2022-08-21;0;5;7;0;4;False
2022-08-28;0;5;6;0;4;False
2022-09-04;0;6;6;0;4;False
2022-09-11;0;6;6;0;4;False
2022-09-18;0;5;9;0;3;False
2022-09-25;0;7;7;0;4;False
2022-10-02;0;7;7;0;3;False
2022-10-09;0;7;6;1;3;False
2022-10-16;0;7;7;0;3;False
2022-10-23;0;6;12;0;3;False
2022-10-30;0;7;23;0;3;False
2022-11-06;0;7;11;0;3;False
2022-11-13;0;7;12;0;3;False
2022-11-20;0;6;57;0;3;False
2022-11-27;0;7;100;0;3;False
2022-12-04;0;7;88;0;3;False
2022-12-11;0;6;9;0;3;False
2022-12-18;0;5;7;0;3;False
2022-12-25;0;3;8;0;3;False
2023-01-01;0;5;7;0;4;False
2023-01-08;0;7;7;0;4;False
2023-01-15;0;7;7;0;4;False
2023-01-22;0;7;7;0;3;False
2023-01-29;0;7;7;0;4;False
