date;Rathbones Folio prize;Sheila Atim;Football tactics;Twin Peaks;air travel;isPartial
2022-01-02;0;1;8;44;90;False
2022-01-09;0;0;12;36;98;False
2022-01-16;0;0;10;39;77;False
2022-01-23;0;0;9;40;84;False
2022-01-30;0;2;9;29;95;False
2022-02-06;0;0;10;31;96;False
2022-02-13;0;0;10;34;96;False
2022-02-20;0;0;8;42;98;False
2022-02-27;2;0;9;32;86;False
2022-03-06;0;1;6;28;90;False
2022-03-13;0;0;5;31;90;False
2022-03-20;1;1;7;29;88;False
2022-03-27;0;0;7;30;93;False
2022-04-03;0;0;7;34;85;False
2022-04-10;0;5;9;38;74;False
2022-04-17;1;0;8;38;82;False
2022-04-24;0;0;8;29;84;False
2022-05-01;0;1;9;34;87;False
2022-05-08;0;2;10;28;89;False
2022-05-15;0;2;7;38;93;False
2022-05-22;0;1;8;34;88;False
2022-05-29;0;0;8;32;90;False
2022-06-05;0;0;9;85;100;False
2022-06-12;0;0;8;44;87;False
2022-06-19;0;2;8;35;81;False
2022-06-26;0;3;6;39;87;False
2022-07-03;0;1;6;38;92;False
2022-07-10;0;0;5;47;95;False
2022-07-17;0;0;5;37;91;False
2022-07-24;0;0;7;45;90;False
2022-07-31;0;1;7;35;81;False
2022-08-07;2;2;8;36;78;False
2022-08-14;0;2;8;38;77;False
2022-08-21;0;0;5;39;67;False
2022-08-28;0;0;11;50;74;False
2022-09-04;0;0;8;53;80;False
2022-09-11;0;3;9;45;69;False
2022-09-18;0;1;8;37;66;False
2022-09-25;2;1;6;52;68;False
2022-10-02;0;5;6;36;65;False
2022-10-09;0;3;6;40;63;False
2022-10-16;0;2;10;38;57;False
2022-10-23;0;3;9;40;53;False
2022-10-30;0;2;7;38;53;False
2022-11-06;0;2;16;42;59;False
2022-11-13;0;0;9;38;50;False
2022-11-20;1;1;9;34;62;False
2022-11-27;0;1;8;30;61;False
2022-12-04;0;1;9;36;52;False
2022-12-11;0;0;9;70;53;False
2022-12-18;0;2;7;40;50;False
2022-12-25;0;1;8;40;66;False
2023-01-01;1;1;10;39;77;False
2023-01-08;0;2;4;42;71;False
2023-01-15;0;5;10;48;69;False
2023-01-22;0;2;9;68;64;False
2023-01-29;2;0;8;43;69;False
