date;duchess of cornwall;History books;Animation in film;David Walliams;air travel;isPartial
2022-01-02;3;12;1;16;27;False
2022-01-09;3;12;1;17;30;False
2022-01-16;3;11;1;46;23;False
2022-01-23;3;12;0;19;25;False
2022-01-30;4;12;0;16;29;False
2022-02-06;9;12;1;16;29;False
2022-02-13;8;10;1;15;29;False
2022-02-20;4;11;0;24;29;False
2022-02-27;3;12;1;39;26;False
2022-03-06;3;10;0;17;27;False
2022-03-13;5;10;1;24;27;False
2022-03-20;3;9;0;20;26;False
2022-03-27;3;9;0;12;28;False
2022-04-03;3;11;1;11;26;False
2022-04-10;4;8;0;25;22;False
2022-04-17;2;11;1;58;25;False
2022-04-24;4;8;0;30;25;False
2022-05-01;3;10;1;57;26;False
2022-05-08;4;9;1;29;27;False
2022-05-15;3;8;0;29;28;False
2022-05-22;2;10;1;19;26;False
2022-05-29;13;8;1;45;27;False
2022-06-05;7;11;0;32;30;False
2022-06-12;6;10;0;18;26;False
2022-06-19;6;11;0;17;24;False
2022-06-26;2;11;0;17;26;False
2022-07-03;5;10;0;15;28;False
2022-07-10;15;10;0;13;29;False
2022-07-17;10;10;0;10;27;False
2022-07-24;6;11;0;12;27;False
2022-07-31;2;9;1;12;24;False
2022-08-07;2;9;1;9;24;False
2022-08-14;1;9;1;10;23;False
2022-08-21;2;11;1;11;20;False
2022-08-28;3;9;1;14;22;False
2022-09-04;25;13;1;14;24;False
2022-09-11;6;14;0;15;21;False
2022-09-18;5;13;1;15;20;False
2022-09-25;2;10;0;20;21;False
2022-10-02;0;14;0;18;20;False
2022-10-09;2;12;0;21;19;False
2022-10-16;2;12;0;19;17;False
2022-10-23;1;10;1;18;16;False
2022-10-30;1;12;0;17;16;False
2022-11-06;2;15;0;100;18;False
2022-11-13;1;13;1;35;15;False
2022-11-20;1;14;0;65;19;False
2022-11-27;1;17;1;44;18;False
2022-12-04;1;15;1;25;16;False
2022-12-11;1;16;0;28;16;False
2022-12-18;2;13;1;35;15;False
2022-12-25;1;10;0;44;20;False
2023-01-01;1;10;0;16;23;False
2023-01-08;1;12;1;20;21;False
2023-01-15;1;10;0;22;21;False
2023-01-22;0;12;1;43;19;False
2023-01-29;1;11;1;18;21;False
