date;Augsburg;paris hilton;Silicon Valley;newcastle united;air travel;isPartial
2022-01-02;1;4;2;85;5;False
2022-01-09;0;4;2;69;5;False
2022-01-16;1;5;1;63;4;False
2022-01-23;0;5;1;61;4;False
2022-01-30;0;5;1;56;5;False
2022-02-06;1;3;1;52;5;False
2022-02-13;1;4;2;52;5;False
2022-02-20;0;3;1;42;5;False
2022-02-27;2;2;1;37;5;False
2022-03-06;1;3;1;38;5;False
2022-03-13;1;3;1;44;5;False
2022-03-20;1;2;1;17;5;False
2022-03-27;1;2;1;16;5;False
2022-04-03;4;3;1;41;4;False
2022-04-10;1;3;1;19;4;False
2022-04-17;1;3;2;58;4;False
2022-04-24;1;3;1;37;4;False
2022-05-01;1;2;1;24;5;False
2022-05-08;1;3;1;33;5;False
2022-05-15;0;2;1;50;5;False
2022-05-22;1;2;1;37;5;False
2022-05-29;0;2;1;29;5;False
2022-06-05;1;3;1;32;5;False
2022-06-12;1;3;1;35;5;False
2022-06-19;1;3;1;36;4;False
2022-06-26;0;3;1;42;5;False
2022-07-03;0;3;1;40;5;False
2022-07-10;1;2;1;44;5;False
2022-07-17;1;2;1;40;5;False
2022-07-24;1;2;1;59;5;False
2022-07-31;1;2;2;61;4;False
2022-08-07;1;3;2;56;4;False
2022-08-14;1;2;1;42;4;False
2022-08-21;1;2;1;86;4;False
2022-08-28;0;3;1;85;4;False
2022-09-04;1;3;1;23;4;False
2022-09-11;2;2;1;30;4;False
2022-09-18;1;3;1;17;3;False
2022-09-25;0;3;1;23;4;False
2022-10-02;1;3;1;29;3;False
2022-10-09;0;3;1;26;3;False
2022-10-16;3;4;1;91;3;False
2022-10-23;1;3;1;49;3;False
2022-10-30;1;3;1;26;3;False
2022-11-06;1;3;1;78;3;False
2022-11-13;0;2;2;21;3;False
2022-11-20;0;2;1;17;3;False
2022-11-27;1;2;1;17;3;False
2022-12-04;0;2;1;17;3;False
2022-12-11;1;2;1;21;3;False
2022-12-18;0;3;1;32;3;False
2022-12-25;0;3;1;68;3;False
2023-01-01;1;4;1;60;4;False
2023-01-08;0;3;1;53;4;False
2023-01-15;1;3;1;68;4;False
2023-01-22;3;12;1;67;3;False
2023-01-29;1;4;1;100;4;False
