date;alec baldwin;ITV channel;Turks and Caicos Islands;Knives Out;air travel;isPartial
2022-01-02;2;3;0;2;3;False
2022-01-09;2;2;0;2;4;False
2022-01-16;2;2;0;1;3;False
2022-01-23;2;2;0;1;3;False
2022-01-30;2;4;0;3;4;False
2022-02-06;2;3;0;2;4;False
2022-02-13;2;2;0;2;4;False
2022-02-20;1;2;0;12;4;False
2022-02-27;1;2;0;7;3;False
2022-03-06;1;3;0;2;3;False
2022-03-13;2;3;0;2;3;False
2022-03-20;2;3;0;1;3;False
2022-03-27;4;2;0;1;4;False
2022-04-03;3;3;0;2;3;False
2022-04-10;1;2;0;2;3;False
2022-04-17;2;2;0;2;3;False
2022-04-24;5;2;0;1;3;False
2022-05-01;2;2;0;1;3;False
2022-05-08;1;2;0;1;3;False
2022-05-15;1;2;0;1;4;False
2022-05-22;1;2;0;2;3;False
2022-05-29;1;3;0;2;3;False
2022-06-05;1;5;0;4;4;False
2022-06-12;1;3;0;4;3;False
2022-06-19;1;2;0;1;3;False
2022-06-26;1;2;0;1;3;False
2022-07-03;1;2;0;1;3;False
2022-07-10;1;2;0;1;4;False
2022-07-17;1;2;0;1;3;False
2022-07-24;1;3;0;2;3;False
2022-07-31;1;2;0;2;3;False
2022-08-07;1;2;0;1;3;False
2022-08-14;2;1;0;1;3;False
2022-08-21;1;2;0;2;3;False
2022-08-28;1;2;0;2;3;False
2022-09-04;1;3;0;3;3;False
2022-09-11;1;2;0;4;3;False
2022-09-18;1;3;0;3;2;False
2022-09-25;4;3;0;2;3;False
2022-10-02;3;2;0;2;2;False
2022-10-09;2;2;0;5;2;False
2022-10-16;2;2;0;7;2;False
2022-10-23;2;2;0;3;2;False
2022-10-30;1;2;0;3;2;False
2022-11-06;1;3;0;7;2;False
2022-11-13;1;3;0;5;2;False
2022-11-20;1;9;0;13;2;False
2022-11-27;1;4;0;10;2;False
2022-12-04;1;7;0;4;2;False
2022-12-11;1;3;0;11;2;False
2022-12-18;1;3;0;46;2;False
2022-12-25;1;3;0;100;2;False
2023-01-01;1;4;0;36;3;False
2023-01-08;1;2;0;13;3;False
2023-01-15;16;3;0;8;3;False
2023-01-22;5;3;0;6;2;False
2023-01-29;5;3;0;4;3;False
