date;Drax;air travel;isPartial
2022-01-02;35;69;False
2022-01-09;36;76;False
2022-01-16;32;59;False
2022-01-23;35;65;False
2022-01-30;33;74;False
2022-02-06;29;74;False
2022-02-13;26;74;False
2022-02-20;38;76;False
2022-02-27;38;67;False
2022-03-06;40;70;False
2022-03-13;38;69;False
2022-03-20;50;68;False
2022-03-27;35;72;False
2022-04-03;41;66;False
2022-04-10;26;57;False
2022-04-17;29;64;False
2022-04-24;38;65;False
2022-05-01;34;67;False
2022-05-08;36;69;False
2022-05-15;34;72;False
2022-05-22;56;68;False
2022-05-29;24;70;False
2022-06-05;34;78;False
2022-06-12;29;68;False
2022-06-19;29;63;False
2022-06-26;36;68;False
2022-07-03;35;71;False
2022-07-10;35;74;False
2022-07-17;27;70;False
2022-07-24;36;70;False
2022-07-31;38;63;False
2022-08-07;41;61;False
2022-08-14;32;60;False
2022-08-21;36;52;False
2022-08-28;34;57;False
2022-09-04;34;62;False
2022-09-11;27;54;False
2022-09-18;29;51;False
2022-09-25;34;53;False
2022-10-02;100;51;False
2022-10-09;38;49;False
2022-10-16;40;44;False
2022-10-23;36;41;False
2022-10-30;30;41;False
2022-11-06;26;46;False
2022-11-13;34;39;False
2022-11-20;40;48;False
2022-11-27;67;47;False
2022-12-04;35;40;False
2022-12-11;37;41;False
2022-12-18;35;39;False
2022-12-25;44;51;False
2023-01-01;70;59;False
2023-01-08;46;55;False
2023-01-15;37;53;False
2023-01-22;33;49;False
2023-01-29;33;53;False
