date;Tim Davie;Australian economy;Marine Le Pen;Hampton Court Palace;air travel;isPartial
2022-01-02;1;0;2;11;38;False
2022-01-09;0;0;2;7;41;False
2022-01-16;2;0;1;10;32;False
2022-01-23;0;0;1;9;35;False
2022-01-30;1;1;1;11;40;False
2022-02-06;1;1;3;11;40;False
2022-02-13;0;0;1;12;40;False
2022-02-20;1;0;2;14;41;False
2022-02-27;0;0;3;8;36;False
2022-03-06;0;1;1;10;38;False
2022-03-13;1;0;4;14;38;False
2022-03-20;0;0;3;18;37;False
2022-03-27;0;0;5;14;39;False
2022-04-03;1;0;31;18;36;False
2022-04-10;0;0;100;25;31;False
2022-04-17;0;0;41;24;34;False
2022-04-24;1;0;47;18;35;False
2022-05-01;1;0;4;15;36;False
2022-05-08;1;0;3;17;37;False
2022-05-15;1;0;2;18;39;False
2022-05-22;1;0;1;17;37;False
2022-05-29;2;1;1;25;38;False
2022-06-05;1;1;1;22;42;False
2022-06-12;1;1;1;25;37;False
2022-06-19;1;0;7;29;34;False
2022-06-26;0;0;1;20;37;False
2022-07-03;1;0;0;31;39;False
2022-07-10;1;0;1;16;40;False
2022-07-17;1;0;1;12;38;False
2022-07-24;0;0;1;15;38;False
2022-07-31;0;0;0;16;34;False
2022-08-07;1;0;1;16;33;False
2022-08-14;1;0;1;15;32;False
2022-08-21;2;0;0;19;28;False
2022-08-28;0;0;1;17;31;False
2022-09-04;2;0;1;14;33;False
2022-09-11;0;0;1;17;29;False
2022-09-18;1;0;0;17;28;False
2022-09-25;1;1;1;14;29;False
2022-10-02;0;0;1;13;27;False
2022-10-09;0;1;0;16;26;False
2022-10-16;1;1;1;17;24;False
2022-10-23;1;0;1;22;22;False
2022-10-30;0;0;3;17;22;False
2022-11-06;1;0;2;15;25;False
2022-11-13;1;0;0;14;21;False
2022-11-20;1;0;1;14;26;False
2022-11-27;0;0;1;19;25;False
2022-12-04;1;0;1;20;22;False
2022-12-11;0;0;1;18;22;False
2022-12-18;0;0;1;17;21;False
2022-12-25;0;0;1;22;27;False
2023-01-01;1;0;0;28;32;False
2023-01-08;1;0;0;14;30;False
2023-01-15;1;1;1;12;29;False
2023-01-22;2;1;1;14;27;False
2023-01-29;1;1;1;16;29;False
