date;Abba;Illustration;Reproductive rights;Cannes film festival;air travel;isPartial
2022-01-02;15;9;0;0;7;False
2022-01-09;19;10;0;0;8;False
2022-01-16;15;9;0;0;6;False
2022-01-23;16;11;0;0;6;False
2022-01-30;18;11;0;0;7;False
2022-02-06;16;10;0;0;7;False
2022-02-13;16;10;0;0;7;False
2022-02-20;16;11;0;0;7;False
2022-02-27;18;9;0;1;7;False
2022-03-06;17;10;0;0;7;False
2022-03-13;15;10;0;1;7;False
2022-03-20;15;9;0;1;7;False
2022-03-27;15;9;0;1;7;False
2022-04-03;15;9;0;1;7;False
2022-04-10;15;8;0;1;6;False
2022-04-17;15;8;0;1;6;False
2022-04-24;16;9;0;1;6;False
2022-05-01;20;10;0;1;7;False
2022-05-08;26;10;0;2;7;False
2022-05-15;33;10;0;6;7;False
2022-05-22;100;9;0;4;7;False
2022-05-29;59;7;0;2;7;False
2022-06-05;41;8;0;1;8;False
2022-06-12;41;9;0;0;7;False
2022-06-19;35;9;0;0;6;False
2022-06-26;33;8;0;0;7;False
2022-07-03;31;9;0;0;7;False
2022-07-10;30;8;0;0;7;False
2022-07-17;29;8;0;0;7;False
2022-07-24;34;8;0;0;7;False
2022-07-31;31;9;0;0;6;False
2022-08-07;34;9;0;0;6;False
2022-08-14;32;8;0;0;6;False
2022-08-21;32;9;0;0;5;False
2022-08-28;33;8;0;0;6;False
2022-09-04;29;10;0;0;6;False
2022-09-11;30;10;0;1;5;False
2022-09-18;29;9;0;0;5;False
2022-09-25;31;10;0;1;5;False
2022-10-02;29;10;0;0;5;False
2022-10-09;28;10;0;0;5;False
2022-10-16;28;10;0;0;4;False
2022-10-23;28;9;0;0;4;False
2022-10-30;26;9;0;0;4;False
2022-11-06;28;10;0;0;4;False
2022-11-13;29;10;0;0;4;False
2022-11-20;26;9;0;0;5;False
2022-11-27;28;10;0;1;5;False
2022-12-04;29;9;0;0;4;False
2022-12-11;29;9;0;0;4;False
2022-12-18;31;7;0;0;4;False
2022-12-25;42;6;0;0;5;False
2023-01-01;32;9;0;1;6;False
2023-01-08;29;9;0;0;5;False
2023-01-15;30;10;0;0;5;False
2023-01-22;43;10;0;0;5;False
2023-01-29;56;10;0;1;5;False
