date;Gareth Thomas;South China Sea;Bernard Arnault;Alabama;air travel;isPartial
2023-01-01;0;4;29;65;36;False
2023-01-02;0;5;22;100;43;False
2023-01-03;0;0;23;47;28;False
2023-01-04;7;10;16;47;42;False
2023-01-05;3;4;6;50;35;False
2023-01-06;0;0;17;73;35;False
2023-01-07;9;0;21;53;25;False
2023-01-08;5;4;18;59;40;False
2023-01-09;9;9;9;51;24;False
2023-01-10;0;0;12;47;37;False
2023-01-11;3;3;98;57;42;False
2023-01-12;0;0;80;56;35;False
2023-01-13;0;0;21;58;28;False
2023-01-14;0;0;14;58;27;False
2023-01-15;7;0;11;69;31;False
2023-01-16;2;11;27;47;32;False
2023-01-17;0;3;21;60;26;False
2023-01-18;0;4;17;43;38;False
2023-01-19;4;2;15;53;34;False
2023-01-20;0;4;4;60;28;False
2023-01-21;8;3;12;66;30;False
2023-01-22;10;2;19;45;33;False
2023-01-23;9;0;6;39;34;False
2023-01-24;0;0;13;58;26;False
2023-01-25;3;0;5;48;36;False
2023-01-26;7;3;12;51;32;False
2023-01-27;3;3;18;49;22;False
2023-01-28;0;0;11;62;31;False
2023-01-29;0;9;14;57;29;False
2023-01-30;72;4;17;54;47;False
2023-01-31;45;0;22;71;40;False
