date;Gianni Infantino;Villarreal;Consumer affairs;NHL;air travel;isPartial
2022-01-02;0;2;0;9;5;False
2022-01-09;0;2;0;8;6;False
2022-01-16;0;1;0;8;4;False
2022-01-23;0;1;0;8;5;False
2022-01-30;0;1;0;9;6;False
2022-02-06;0;3;0;8;6;False
2022-02-13;0;2;0;9;6;False
2022-02-20;0;6;0;8;6;False
2022-02-27;0;2;0;8;5;False
2022-03-06;0;2;0;8;5;False
2022-03-13;0;8;0;8;5;False
2022-03-20;0;2;0;8;5;False
2022-03-27;0;1;0;7;5;False
2022-04-03;0;13;0;8;5;False
2022-04-10;0;22;0;8;4;False
2022-04-17;0;6;0;9;5;False
2022-04-24;0;75;0;9;5;False
2022-05-01;0;100;0;12;5;False
2022-05-08;0;5;0;15;5;False
2022-05-15;0;2;0;13;5;False
2022-05-22;0;6;0;13;5;False
2022-05-29;0;1;0;11;5;False
2022-06-05;0;1;0;12;6;False
2022-06-12;0;1;0;8;5;False
2022-06-19;0;1;0;10;5;False
2022-06-26;0;1;0;6;5;False
2022-07-03;0;1;0;6;5;False
2022-07-10;0;1;0;5;6;False
2022-07-17;0;2;0;3;5;False
2022-07-24;0;3;0;4;5;False
2022-07-31;0;4;0;3;5;False
2022-08-07;0;2;0;4;5;False
2022-08-14;0;2;0;3;4;False
2022-08-21;0;4;0;3;4;False
2022-08-28;0;3;0;3;4;False
2022-09-04;0;4;0;3;5;False
2022-09-11;0;3;0;4;4;False
2022-09-18;0;2;0;4;4;False
2022-09-25;0;1;0;5;4;False
2022-10-02;0;2;0;6;4;False
2022-10-09;0;3;0;9;4;False
2022-10-16;0;11;0;8;3;False
2022-10-23;0;6;0;9;3;False
2022-10-30;0;4;0;8;3;False
2022-11-06;0;3;0;8;3;False
2022-11-13;5;1;0;7;3;False
2022-11-20;5;1;0;7;4;False
2022-11-27;2;1;0;7;4;False
2022-12-04;1;1;0;7;3;False
2022-12-11;1;3;0;8;3;False
2022-12-18;3;2;0;9;3;False
2022-12-25;0;2;0;9;4;False
2023-01-01;1;5;0;10;4;False
2023-01-08;0;3;0;8;4;False
2023-01-15;0;7;0;9;4;False
2023-01-22;0;3;0;8;4;False
2023-01-29;0;3;0;7;4;False
