date;Azeem Rafiq;rwanda;Neymar;Richard Wagner;air travel;isPartial
2022-01-02;0;3;6;0;7;False
2022-01-09;1;3;8;0;7;False
2022-01-16;0;4;7;0;6;False
2022-01-23;0;3;16;0;6;False
2022-01-30;0;3;19;0;7;False
2022-02-06;0;3;12;0;7;False
2022-02-13;0;3;16;0;7;False
2022-02-20;0;3;11;0;7;False
2022-02-27;0;3;7;0;6;False
2022-03-06;0;4;12;0;7;False
2022-03-13;0;4;10;0;7;False
2022-03-20;0;3;10;0;7;False
2022-03-27;0;5;7;0;7;False
2022-04-03;0;6;7;0;6;False
2022-04-10;0;91;8;0;5;False
2022-04-17;0;40;8;0;6;False
2022-04-24;0;10;8;0;6;False
2022-05-01;0;9;10;0;6;False
2022-05-08;0;12;7;0;7;False
2022-05-15;0;8;8;0;7;False
2022-05-22;0;6;16;0;7;False
2022-05-29;0;15;13;0;7;False
2022-06-05;0;25;11;0;7;False
2022-06-12;1;95;8;0;6;False
2022-06-19;0;21;17;0;6;False
2022-06-26;1;8;23;0;6;False
2022-07-03;0;7;12;0;7;False
2022-07-10;0;7;15;0;7;False
2022-07-17;0;7;10;0;7;False
2022-07-24;0;8;12;0;7;False
2022-07-31;0;5;9;0;6;False
2022-08-07;0;5;9;0;6;False
2022-08-14;0;5;12;0;6;False
2022-08-21;0;4;10;0;5;False
2022-08-28;0;5;16;0;5;False
2022-09-04;0;7;9;0;6;False
2022-09-11;0;4;10;0;5;False
2022-09-18;0;4;8;0;5;False
2022-09-25;0;5;9;0;5;False
2022-10-02;0;6;8;0;5;False
2022-10-09;1;5;9;0;5;False
2022-10-16;0;6;18;0;4;False
2022-10-23;0;6;11;0;4;False
2022-10-30;0;6;10;0;4;False
2022-11-06;0;5;12;0;4;False
2022-11-13;1;5;16;0;4;False
2022-11-20;0;4;83;0;5;False
2022-11-27;0;4;64;0;5;False
2022-12-04;0;4;100;0;4;False
2022-12-11;1;5;43;0;4;False
2022-12-18;0;20;46;0;4;False
2022-12-25;0;7;30;0;5;False
2023-01-01;0;5;18;0;6;False
2023-01-08;0;4;15;0;5;False
2023-01-15;0;5;15;0;5;False
2023-01-22;0;7;20;0;5;False
2023-01-29;0;5;15;0;5;False
