date;Vinícius Júnior;baftas;South Korea;Stamps;air travel;isPartial
2022-01-02;0;0;7;12;5;False
2022-01-09;0;0;6;15;5;False
2022-01-16;0;0;5;13;4;False
2022-01-23;0;0;6;14;4;False
2022-01-30;0;1;7;16;5;False
2022-02-06;0;1;7;17;5;False
2022-02-13;0;1;6;16;5;False
2022-02-20;0;1;8;14;5;False
2022-02-27;0;1;7;15;5;False
2022-03-06;0;3;9;16;5;False
2022-03-13;0;31;8;14;5;False
2022-03-20;0;2;9;15;5;False
2022-03-27;0;3;8;17;5;False
2022-04-03;0;1;7;17;5;False
2022-04-10;0;1;6;14;4;False
2022-04-17;0;1;6;12;4;False
2022-04-24;0;1;6;12;4;False
2022-05-01;0;1;7;13;5;False
2022-05-08;0;19;7;13;5;False
2022-05-15;0;1;7;14;5;False
2022-05-22;0;0;6;12;5;False
2022-05-29;0;0;11;12;5;False
2022-06-05;0;0;9;13;5;False
2022-06-12;0;0;8;14;5;False
2022-06-19;0;0;6;13;4;False
2022-06-26;0;0;6;13;5;False
2022-07-03;0;0;6;12;5;False
2022-07-10;0;0;8;12;5;False
2022-07-17;0;0;6;11;5;False
2022-07-24;0;0;7;13;5;False
2022-07-31;0;0;6;13;4;False
2022-08-07;0;0;11;15;4;False
2022-08-14;0;0;7;13;4;False
2022-08-21;0;0;7;14;4;False
2022-08-28;0;0;6;13;4;False
2022-09-04;0;0;6;20;4;False
2022-09-11;0;0;6;20;4;False
2022-09-18;0;0;9;17;4;False
2022-09-25;0;0;7;17;4;False
2022-10-02;0;0;7;16;3;False
2022-10-09;0;1;7;19;3;False
2022-10-16;0;0;7;18;3;False
2022-10-23;0;0;12;22;3;False
2022-10-30;0;0;23;22;3;False
2022-11-06;0;0;11;20;3;False
2022-11-13;0;0;12;22;3;False
2022-11-20;0;1;57;21;3;False
2022-11-27;0;0;100;27;3;False
2022-12-04;0;0;88;41;3;False
2022-12-11;0;0;9;39;3;False
2022-12-18;0;0;7;21;3;False
2022-12-25;0;0;8;17;3;False
2023-01-01;0;0;7;37;4;False
2023-01-08;0;1;7;28;4;False
2023-01-15;0;2;7;27;4;False
2023-01-22;0;1;7;25;3;False
2023-01-29;0;1;7;24;4;False
