date;Brooklyn Nets;Summer in the City;peru;Mike Pompeo;air travel;isPartial
2022-01-02;9;1;51;3;24;False
2022-01-09;6;1;47;1;26;False
2022-01-16;6;1;60;0;20;False
2022-01-23;6;1;77;1;22;False
2022-01-30;6;1;64;1;25;False
2022-02-06;9;1;53;1;25;False
2022-02-13;8;1;48;0;25;False
2022-02-20;4;1;54;1;26;False
2022-02-27;7;1;49;1;23;False
2022-03-06;8;3;49;1;24;False
2022-03-13;8;2;52;1;24;False
2022-03-20;6;2;64;0;23;False
2022-03-27;7;0;62;0;24;False
2022-04-03;6;1;57;1;22;False
2022-04-10;8;2;43;0;19;False
2022-04-17;12;2;48;1;22;False
2022-04-24;9;1;51;0;22;False
2022-05-01;3;1;52;0;23;False
2022-05-08;2;1;51;1;24;False
2022-05-15;3;2;53;1;24;False
2022-05-22;2;1;49;0;23;False
2022-05-29;3;2;49;0;24;False
2022-06-05;2;1;65;0;26;False
2022-06-12;2;2;100;0;23;False
2022-06-19;3;4;42;1;21;False
2022-06-26;4;3;50;1;23;False
2022-07-03;2;3;43;1;24;False
2022-07-10;3;3;46;0;25;False
2022-07-17;2;4;44;0;24;False
2022-07-24;3;2;51;0;24;False
2022-07-31;2;2;42;1;21;False
2022-08-07;2;3;42;0;21;False
2022-08-14;3;3;41;0;20;False
2022-08-21;3;0;42;0;18;False
2022-08-28;2;1;42;0;19;False
2022-09-04;2;1;41;0;21;False
2022-09-11;2;1;52;0;18;False
2022-09-18;2;1;45;0;17;False
2022-09-25;3;2;53;0;18;False
2022-10-02;4;2;40;0;17;False
2022-10-09;3;1;43;0;16;False
2022-10-16;5;1;44;0;15;False
2022-10-23;7;1;43;0;14;False
2022-10-30;10;1;43;0;14;False
2022-11-06;6;1;44;0;16;False
2022-11-13;5;1;50;1;13;False
2022-11-20;5;1;50;0;16;False
2022-11-27;5;1;40;1;16;False
2022-12-04;6;1;61;0;14;False
2022-12-11;6;1;70;0;14;False
2022-12-18;5;1;59;0;13;False
2022-12-25;7;1;50;0;17;False
2023-01-01;9;0;50;0;20;False
2023-01-08;7;1;56;1;19;False
2023-01-15;6;1;57;0;18;False
2023-01-22;6;1;57;1;17;False
2023-01-29;6;2;53;3;18;False
