date;metaverse;Buildings at risk;los angeles;The Shins;air travel;isPartial
2022-01-02;76;1;98;1;27;False
2022-01-09;71;1;95;1;29;False
2022-01-16;69;0;90;1;23;False
2022-01-23;62;0;95;1;25;False
2022-01-30;67;0;93;2;29;False
2022-02-06;55;0;85;1;29;False
2022-02-13;55;0;94;1;29;False
2022-02-20;55;0;84;1;29;False
2022-02-27;35;0;76;1;26;False
2022-03-06;33;0;81;1;27;False
2022-03-13;31;0;86;1;27;False
2022-03-20;33;0;93;1;26;False
2022-03-27;33;0;96;0;28;False
2022-04-03;31;0;86;1;25;False
2022-04-10;31;0;88;1;22;False
2022-04-17;35;0;84;2;24;False
2022-04-24;40;0;87;1;25;False
2022-05-01;32;0;95;1;26;False
2022-05-08;31;0;85;1;27;False
2022-05-15;27;1;94;1;28;False
2022-05-22;23;0;82;1;26;False
2022-05-29;20;1;85;1;27;False
2022-06-05;24;0;87;2;30;False
2022-06-12;23;0;86;1;26;False
2022-06-19;21;0;89;0;24;False
2022-06-26;22;0;91;0;26;False
2022-07-03;20;0;87;1;27;False
2022-07-10;19;1;90;1;28;False
2022-07-17;19;0;90;2;27;False
2022-07-24;20;0;94;0;27;False
2022-07-31;19;1;88;1;24;False
2022-08-07;21;0;96;1;23;False
2022-08-14;19;0;88;0;23;False
2022-08-21;23;0;85;1;20;False
2022-08-28;17;0;88;1;22;False
2022-09-04;20;0;88;1;24;False
2022-09-11;20;0;87;1;21;False
2022-09-18;17;0;81;1;20;False
2022-09-25;21;0;86;1;20;False
2022-10-02;17;0;84;1;20;False
2022-10-09;32;0;81;1;19;False
2022-10-16;26;1;82;1;17;False
2022-10-23;37;1;81;1;16;False
2022-10-30;35;0;83;1;16;False
2022-11-06;36;0;84;1;18;False
2022-11-13;30;0;75;1;15;False
2022-11-20;23;1;68;0;19;False
2022-11-27;23;1;73;1;18;False
2022-12-04;27;0;71;1;15;False
2022-12-11;18;0;74;1;16;False
2022-12-18;17;0;88;1;15;False
2022-12-25;17;0;83;1;20;False
2023-01-01;18;0;90;1;23;False
2023-01-08;20;1;96;1;21;False
2023-01-15;18;1;93;0;21;False
2023-01-22;17;1;95;1;19;False
2023-01-29;18;0;100;1;21;False
