date;India;rio ferdinand;Microsoft;Jersey;air travel;isPartial
2022-01-02;60;0;46;17;2;False
2022-01-09;54;0;53;17;2;False
2022-01-16;50;0;54;15;1;False
2022-01-23;54;0;53;17;1;False
2022-01-30;55;1;58;20;2;False
2022-02-06;56;0;49;17;2;False
2022-02-13;57;0;45;19;2;False
2022-02-20;68;1;45;16;2;False
2022-02-27;60;1;46;16;2;False
2022-03-06;62;1;48;17;2;False
2022-03-13;58;1;47;18;2;False
2022-03-20;52;1;46;18;2;False
2022-03-27;54;0;42;17;2;False
2022-04-03;49;1;44;17;2;False
2022-04-10;48;1;35;18;1;False
2022-04-17;46;1;32;18;1;False
2022-04-24;49;1;43;19;1;False
2022-05-01;53;1;44;19;2;False
2022-05-08;49;0;45;20;2;False
2022-05-15;55;0;44;20;2;False
2022-05-22;47;2;42;21;2;False
2022-05-29;50;1;30;21;2;False
2022-06-05;56;0;43;20;2;False
2022-06-12;65;0;44;21;2;False
2022-06-19;55;1;40;21;1;False
2022-06-26;75;0;39;20;2;False
2022-07-03;100;0;41;22;2;False
2022-07-10;89;0;42;22;2;False
2022-07-17;71;0;41;22;2;False
2022-07-24;68;1;38;23;2;False
2022-07-31;69;0;35;21;1;False
2022-08-07;60;1;39;22;1;False
2022-08-14;52;0;36;18;1;False
2022-08-21;52;1;40;21;1;False
2022-08-28;78;1;39;19;1;False
2022-09-04;85;1;45;17;1;False
2022-09-11;57;0;50;17;1;False
2022-09-18;74;0;46;17;1;False
2022-09-25;70;0;52;17;1;False
2022-10-02;75;0;49;15;1;False
2022-10-09;63;1;50;15;1;False
2022-10-16;59;0;46;16;1;False
2022-10-23;80;0;44;15;1;False
2022-10-30;78;0;46;15;1;False
2022-11-06;87;2;49;16;1;False
2022-11-13;63;1;47;15;1;False
2022-11-20;61;1;44;16;1;False
2022-11-27;61;3;45;20;1;False
2022-12-04;69;1;43;21;1;False
2022-12-11;65;1;42;21;1;False
2022-12-18;62;1;36;16;1;False
2022-12-25;63;1;30;17;1;False
2023-01-01;68;0;41;16;1;False
2023-01-08;68;1;49;15;1;False
2023-01-15;75;1;51;16;1;False
2023-01-22;72;1;59;17;1;False
2023-01-29;69;1;54;17;1;False
