date;Romance films;Gluten-free;A24;Formula One;air travel;isPartial
2022-01-02;3;7;10;42;53;False
2022-01-09;3;7;16;42;58;False
2022-01-16;3;11;14;40;45;False
2022-01-23;4;9;13;45;50;False
2022-01-30;4;10;15;42;56;False
2022-02-06;3;11;13;43;57;False
2022-02-13;7;10;14;39;57;False
2022-02-20;4;11;13;41;58;False
2022-02-27;4;12;14;47;51;False
2022-03-06;5;9;15;56;53;False
2022-03-13;2;11;19;77;53;False
2022-03-20;2;11;25;100;52;False
2022-03-27;5;10;16;73;55;False
2022-04-03;5;11;21;52;50;False
2022-04-10;5;10;18;50;43;False
2022-04-17;4;11;20;51;48;False
2022-04-24;3;10;18;59;50;False
2022-05-01;5;9;19;57;51;False
2022-05-08;4;10;19;65;53;False
2022-05-15;5;12;24;48;55;False
2022-05-22;4;9;29;61;52;False
2022-05-29;5;14;24;55;53;False
2022-06-05;3;10;29;53;59;False
2022-06-12;5;13;13;62;52;False
2022-06-19;4;12;17;54;48;False
2022-06-26;2;10;25;56;51;False
2022-07-03;4;12;14;82;54;False
2022-07-10;4;12;18;55;56;False
2022-07-17;5;14;16;43;53;False
2022-07-24;4;15;19;58;53;False
2022-07-31;5;10;18;54;48;False
2022-08-07;5;12;16;37;46;False
2022-08-14;4;11;15;35;46;False
2022-08-21;5;14;21;47;40;False
2022-08-28;4;11;19;56;44;False
2022-09-04;4;12;14;52;47;False
2022-09-11;4;12;18;59;41;False
2022-09-18;5;11;21;44;39;False
2022-09-25;3;10;19;46;40;False
2022-10-02;5;12;14;60;39;False
2022-10-09;4;10;15;56;37;False
2022-10-16;5;12;14;50;34;False
2022-10-23;6;12;16;59;31;False
2022-10-30;5;11;19;54;31;False
2022-11-06;6;10;17;51;35;False
2022-11-13;5;10;17;60;29;False
2022-11-20;3;10;16;55;37;False
2022-11-27;5;11;15;46;36;False
2022-12-04;4;9;14;41;31;False
2022-12-11;5;8;18;47;31;False
2022-12-18;5;11;21;34;29;False
2022-12-25;6;10;20;35;39;False
2023-01-01;5;8;14;42;45;False
2023-01-08;4;7;23;46;42;False
2023-01-15;6;9;17;48;41;False
2023-01-22;4;10;19;43;38;False
2023-01-29;4;11;19;45;41;False
