date;census 2021;Television;united nations;Mindfulness;air travel;isPartial
2022-01-02;14;70;12;28;21;False
2022-01-09;8;69;18;30;25;False
2022-01-16;6;60;15;27;18;False
2022-01-23;5;62;13;28;20;False
2022-01-30;5;69;21;29;23;False
2022-02-06;4;65;19;29;23;False
2022-02-13;4;56;13;25;23;False
2022-02-20;5;63;46;24;23;False
2022-02-27;3;63;58;23;20;False
2022-03-06;4;62;26;24;22;False
2022-03-13;4;57;23;22;21;False
2022-03-20;4;56;18;24;21;False
2022-03-27;4;56;13;23;22;False
2022-04-03;3;56;23;20;20;False
2022-04-10;3;56;12;18;18;False
2022-04-17;5;53;14;19;20;False
2022-04-24;5;54;16;22;20;False
2022-05-01;3;61;14;23;21;False
2022-05-08;4;63;15;25;21;False
2022-05-15;3;56;15;23;22;False
2022-05-22;4;64;12;21;21;False
2022-05-29;4;61;10;16;21;False
2022-06-05;5;62;16;22;24;False
2022-06-12;3;51;14;21;21;False
2022-06-19;4;55;12;19;19;False
2022-06-26;22;53;11;21;21;False
2022-07-03;6;50;13;21;22;False
2022-07-10;4;57;11;24;23;False
2022-07-17;5;49;10;21;22;False
2022-07-24;4;58;12;16;21;False
2022-07-31;3;54;11;16;19;False
2022-08-07;3;49;9;16;19;False
2022-08-14;3;55;9;16;18;False
2022-08-21;3;60;8;15;16;False
2022-08-28;3;64;9;17;18;False
2022-09-04;4;67;11;22;19;False
2022-09-11;4;66;12;23;17;False
2022-09-18;9;70;20;19;16;False
2022-09-25;4;62;18;21;16;False
2022-10-02;4;64;14;22;16;False
2022-10-09;4;100;14;22;15;False
2022-10-16;3;63;13;20;14;False
2022-10-23;3;61;12;15;13;False
2022-10-30;12;62;12;20;13;False
2022-11-06;6;68;14;24;14;False
2022-11-13;5;59;14;21;12;False
2022-11-20;4;61;14;20;15;False
2022-11-27;30;53;13;20;14;False
2022-12-04;9;56;13;20;12;False
2022-12-11;6;53;14;19;13;False
2022-12-18;5;58;10;17;12;False
2022-12-25;3;73;9;13;16;False
2023-01-01;15;66;9;21;18;False
2023-01-08;9;57;13;24;17;False
2023-01-15;7;56;14;22;17;False
2023-01-22;6;59;15;23;15;False
2023-01-29;6;68;17;25;16;False
