date;texas;Julia Garner;Men's health;leeds;air travel;isPartial
2022-01-02;4;0;0;72;1;False
2022-01-09;4;0;0;57;1;False
2022-01-16;5;0;0;62;1;False
2022-01-23;4;1;0;59;1;False
2022-01-30;4;0;0;56;1;False
2022-02-06;4;1;0;72;1;False
2022-02-13;7;1;0;56;1;False
2022-02-20;9;1;0;92;1;False
2022-02-27;5;1;0;65;1;False
2022-03-06;5;0;0;61;1;False
2022-03-13;4;0;0;71;1;False
2022-03-20;4;0;0;56;1;False
2022-03-27;5;0;0;56;1;False
2022-04-03;4;0;0;58;1;False
2022-04-10;4;0;0;60;1;False
2022-04-17;4;0;0;57;1;False
2022-04-24;5;0;0;69;1;False
2022-05-01;5;0;0;65;1;False
2022-05-08;4;0;0;78;1;False
2022-05-15;4;0;0;69;1;False
2022-05-22;22;0;0;70;1;False
2022-05-29;6;0;0;64;1;False
2022-06-05;4;1;0;58;1;False
2022-06-12;4;0;0;63;1;False
2022-06-19;5;0;0;63;1;False
2022-06-26;4;0;0;64;1;False
2022-07-03;4;0;0;65;1;False
2022-07-10;4;0;0;70;1;False
2022-07-17;4;0;0;66;1;False
2022-07-24;4;0;0;72;1;False
2022-07-31;4;0;0;74;1;False
2022-08-07;4;0;0;72;1;False
2022-08-14;4;0;0;64;1;False
2022-08-21;4;0;0;100;1;False
2022-08-28;4;0;0;90;1;False
2022-09-04;4;0;0;57;1;False
2022-09-11;4;0;0;57;1;False
2022-09-18;3;0;0;60;1;False
2022-09-25;3;0;0;57;1;False
2022-10-02;4;0;0;66;1;False
2022-10-09;3;0;0;62;1;False
2022-10-16;4;0;0;74;0;False
2022-10-23;5;0;0;73;0;False
2022-10-30;4;0;0;63;0;False
2022-11-06;4;0;0;69;0;False
2022-11-13;5;0;0;54;0;False
2022-11-20;3;0;0;48;1;False
2022-11-27;4;0;0;50;0;False
2022-12-04;3;0;0;54;0;False
2022-12-11;3;0;0;52;0;False
2022-12-18;4;0;0;55;0;False
2022-12-25;4;0;0;66;1;False
2023-01-01;4;0;0;63;1;False
2023-01-08;4;0;0;68;1;False
2023-01-15;3;0;0;66;1;False
2023-01-22;4;0;0;72;1;False
2023-01-29;4;0;0;66;1;False
