date;Profit warnings;RB Leipzig;japan;Erik ten Hag;air travel;isPartial
2022-01-02;0;0;23;0;2;False
2022-01-09;0;1;21;0;2;False
2022-01-16;0;1;23;0;2;False
2022-01-23;0;1;25;0;2;False
2022-01-30;0;1;24;0;2;False
2022-02-06;0;1;23;0;2;False
2022-02-13;0;1;23;0;2;False
2022-02-20;0;1;28;0;2;False
2022-02-27;0;1;26;1;2;False
2022-03-06;0;1;24;1;2;False
2022-03-13;0;1;28;1;2;False
2022-03-20;0;1;25;3;2;False
2022-03-27;0;1;24;2;2;False
2022-04-03;0;1;24;4;2;False
2022-04-10;0;3;23;4;2;False
2022-04-17;0;2;24;8;2;False
2022-04-24;0;6;23;2;2;False
2022-05-01;0;8;26;1;2;False
2022-05-08;0;1;24;2;2;False
2022-05-15;0;1;22;2;2;False
2022-05-22;0;1;23;4;2;False
2022-05-29;0;0;23;1;2;False
2022-06-05;0;0;26;1;2;False
2022-06-12;0;0;22;1;2;False
2022-06-19;0;0;23;1;2;False
2022-06-26;0;0;21;1;2;False
2022-07-03;0;0;36;2;2;False
2022-07-10;0;1;26;2;2;False
2022-07-17;0;14;24;1;2;False
2022-07-24;0;3;26;1;2;False
2022-07-31;0;1;24;1;2;False
2022-08-07;0;2;24;3;2;False
2022-08-14;0;1;21;2;2;False
2022-08-21;0;1;25;2;2;False
2022-08-28;0;2;25;1;2;False
2022-09-04;0;3;23;2;2;False
2022-09-11;0;3;23;1;2;False
2022-09-18;0;0;34;0;2;False
2022-09-25;0;1;26;0;2;False
2022-10-02;0;5;32;1;2;False
2022-10-09;0;5;28;0;2;False
2022-10-16;0;1;23;1;1;False
2022-10-23;0;3;24;1;1;False
2022-10-30;0;1;25;1;1;False
2022-11-06;0;1;39;1;1;False
2022-11-13;0;0;31;2;1;False
2022-11-20;0;0;86;1;2;False
2022-11-27;0;0;100;0;1;False
2022-12-04;0;0;72;0;1;False
2022-12-11;0;0;25;0;1;False
2022-12-18;0;0;27;1;1;False
2022-12-25;0;0;28;1;2;False
2023-01-01;0;0;29;1;2;False
2023-01-08;0;0;28;2;2;False
2023-01-15;0;2;27;1;2;False
2023-01-22;0;1;29;1;2;False
2023-01-29;0;1;27;1;2;False
