date;angela rayner;all blacks;GCHQ;Express Newspapers;air travel;isPartial
2023-01-01;7;4;44;0;54;False
2023-01-02;0;13;28;0;63;False
2023-01-03;7;4;29;0;41;False
2023-01-04;0;4;35;0;62;False
2023-01-05;17;8;25;4;51;False
2023-01-06;10;12;26;8;51;False
2023-01-07;10;4;36;4;37;False
2023-01-08;10;18;24;0;59;False
2023-01-09;0;24;24;4;35;False
2023-01-10;56;17;18;6;55;False
2023-01-11;53;6;18;8;63;False
2023-01-12;22;7;23;0;52;False
2023-01-13;35;5;16;5;42;False
2023-01-14;17;15;8;0;39;False
2023-01-15;17;5;15;0;46;False
2023-01-16;24;0;17;0;48;False
2023-01-17;14;4;25;0;39;False
2023-01-18;21;9;21;0;56;False
2023-01-19;11;6;21;0;51;False
2023-01-20;20;14;38;4;41;False
2023-01-21;37;5;21;0;44;False
2023-01-22;16;9;16;0;49;False
2023-01-23;31;5;20;4;50;False
2023-01-24;21;10;50;0;39;False
2023-01-25;22;4;26;5;53;False
2023-01-26;21;16;36;0;48;False
2023-01-27;100;11;31;0;33;False
2023-01-28;36;8;12;6;46;False
2023-01-29;24;0;21;10;42;False
2023-01-30;23;14;16;0;70;False
2023-01-31;16;13;30;0;59;False
