date;Alice Walker;Australian media;Lancashire holidays;italy;air travel;isPartial
2022-01-02;0;0;0;33;2;False
2022-01-09;0;0;0;34;2;False
2022-01-16;0;0;0;31;1;False
2022-01-23;0;0;0;34;2;False
2022-01-30;0;0;0;38;2;False
2022-02-06;0;0;0;49;2;False
2022-02-13;0;0;0;52;2;False
2022-02-20;0;0;0;39;2;False
2022-02-27;0;0;0;41;2;False
2022-03-06;0;0;0;44;2;False
2022-03-13;0;0;0;57;2;False
2022-03-20;0;0;0;71;2;False
2022-03-27;0;0;0;46;2;False
2022-04-03;0;0;0;41;2;False
2022-04-10;1;0;0;39;1;False
2022-04-17;0;0;0;38;1;False
2022-04-24;0;0;0;40;2;False
2022-05-01;0;0;0;42;2;False
2022-05-08;0;0;0;46;2;False
2022-05-15;0;0;0;42;2;False
2022-05-22;0;0;0;44;2;False
2022-05-29;0;0;0;70;2;False
2022-06-05;0;0;0;100;2;False
2022-06-12;0;0;0;53;2;False
2022-06-19;0;0;0;38;1;False
2022-06-26;0;0;0;37;2;False
2022-07-03;0;0;0;35;2;False
2022-07-10;0;0;0;42;2;False
2022-07-17;0;0;0;41;2;False
2022-07-24;0;0;0;38;2;False
2022-07-31;0;0;0;38;1;False
2022-08-07;0;0;0;36;1;False
2022-08-14;0;0;0;33;1;False
2022-08-21;0;0;0;31;1;False
2022-08-28;0;0;0;31;1;False
2022-09-04;0;0;0;33;1;False
2022-09-11;0;0;0;34;1;False
2022-09-18;0;0;0;70;1;False
2022-09-25;0;0;0;43;1;False
2022-10-02;0;0;0;27;1;False
2022-10-09;0;0;0;27;1;False
2022-10-16;0;0;0;26;1;False
2022-10-23;0;0;0;26;1;False
2022-10-30;0;0;0;26;1;False
2022-11-06;0;0;0;28;1;False
2022-11-13;0;0;0;27;1;False
2022-11-20;0;0;0;30;1;False
2022-11-27;0;0;0;26;1;False
2022-12-04;0;0;0;23;1;False
2022-12-11;0;0;0;20;1;False
2022-12-18;0;0;0;22;1;False
2022-12-25;0;0;0;27;1;False
2023-01-01;0;0;0;32;1;False
2023-01-08;0;0;0;33;1;False
2023-01-15;0;0;0;32;1;False
2023-01-22;0;0;0;32;1;False
2023-01-29;0;0;0;33;1;False
