date;Childcare;Jeffrey Eugenides;Associated British Foods;Nikki Haley;air travel;isPartial
2023-01-01;32;0;0;0;5;False
2023-01-02;59;0;0;1;6;False
2023-01-03;100;0;0;0;4;False
2023-01-04;84;0;0;0;5;False
2023-01-05;63;0;0;0;4;False
2023-01-06;53;0;0;0;4;False
2023-01-07;26;0;0;0;3;False
2023-01-08;34;0;0;0;5;False
2023-01-09;58;1;0;0;3;False
2023-01-10;58;0;0;0;5;False
2023-01-11;45;0;1;0;5;False
2023-01-12;48;1;0;0;5;False
2023-01-13;48;0;0;0;4;False
2023-01-14;23;0;0;0;3;False
2023-01-15;26;0;0;0;4;False
2023-01-16;53;1;0;0;4;False
2023-01-17;52;0;0;0;3;False
2023-01-18;52;0;0;0;5;False
2023-01-19;47;0;0;0;4;False
2023-01-20;47;0;0;0;4;False
2023-01-21;28;0;0;0;4;False
2023-01-22;32;0;0;0;4;False
2023-01-23;57;0;0;0;4;False
2023-01-24;58;0;0;0;3;False
2023-01-25;56;0;1;0;5;False
2023-01-26;51;0;0;0;4;False
2023-01-27;55;0;0;1;3;False
2023-01-28;30;0;0;0;4;False
2023-01-29;37;0;1;0;4;False
2023-01-30;67;0;0;0;6;False
2023-01-31;84;0;1;1;5;False
