date;Bush theatre;Censorship;Paris fashion week;Justin Welby;air travel;isPartial
2022-01-02;6;13;3;3;77;False
2022-01-09;6;13;5;4;84;False
2022-01-16;7;12;11;1;66;False
2022-01-23;4;16;12;1;73;False
2022-01-30;3;17;7;3;82;False
2022-02-06;6;19;5;3;82;False
2022-02-13;4;16;7;6;83;False
2022-02-20;9;17;13;12;84;False
2022-02-27;7;19;24;5;74;False
2022-03-06;9;18;21;10;78;False
2022-03-13;10;15;5;2;77;False
2022-03-20;9;17;4;0;76;False
2022-03-27;5;17;2;4;80;False
2022-04-03;4;12;3;8;73;False
2022-04-10;7;10;5;4;63;False
2022-04-17;4;11;2;37;71;False
2022-04-24;4;15;4;2;73;False
2022-05-01;7;16;3;2;75;False
2022-05-08;6;16;5;2;77;False
2022-05-15;8;12;5;1;80;False
2022-05-22;7;10;4;4;76;False
2022-05-29;6;8;4;26;77;False
2022-06-05;7;13;5;5;86;False
2022-06-12;6;12;6;5;75;False
2022-06-19;7;10;15;3;70;False
2022-06-26;6;8;12;2;75;False
2022-07-03;6;9;7;1;79;False
2022-07-10;7;5;8;2;82;False
2022-07-17;7;5;4;1;78;False
2022-07-24;8;8;5;5;77;False
2022-07-31;5;8;5;19;70;False
2022-08-07;5;11;5;6;68;False
2022-08-14;3;9;5;4;66;False
2022-08-21;5;12;6;1;58;False
2022-08-28;4;9;7;2;64;False
2022-09-04;7;7;11;20;69;False
2022-09-11;6;10;16;22;60;False
2022-09-18;11;10;14;100;57;False
2022-09-25;9;10;37;4;59;False
2022-10-02;11;10;47;4;56;False
2022-10-09;5;12;14;4;54;False
2022-10-16;6;14;3;4;49;False
2022-10-23;9;18;4;3;46;False
2022-10-30;8;16;4;1;45;False
2022-11-06;7;12;5;1;51;False
2022-11-13;7;14;4;2;43;False
2022-11-20;5;13;5;3;54;False
2022-11-27;5;13;3;4;52;False
2022-12-04;8;14;5;3;45;False
2022-12-11;6;12;5;3;46;False
2022-12-18;7;9;7;6;43;False
2022-12-25;6;8;6;6;56;False
2023-01-01;7;13;11;5;66;False
2023-01-08;8;12;12;5;61;False
2023-01-15;5;12;33;7;59;False
2023-01-22;6;14;44;5;55;False
2023-01-29;7;13;13;8;59;False
