date;earthquakes;Nicolás Maduro;Greta Gerwig;Arcade games;air travel;isPartial
2022-01-02;32;1;6;27;71;False
2022-01-09;51;0;4;26;78;False
2022-01-16;43;0;5;23;61;False
2022-01-23;40;1;4;25;67;False
2022-01-30;44;0;3;27;76;False
2022-02-06;38;0;4;22;76;False
2022-02-13;40;1;4;26;76;False
2022-02-20;57;0;3;27;77;False
2022-02-27;49;0;4;26;68;False
2022-03-06;37;0;4;25;72;False
2022-03-13;49;0;3;23;71;False
2022-03-20;48;0;3;21;69;False
2022-03-27;40;0;4;23;74;False
2022-04-03;26;1;4;25;67;False
2022-04-10;20;1;8;27;58;False
2022-04-17;27;1;7;21;65;False
2022-04-24;33;1;11;24;67;False
2022-05-01;35;0;6;23;69;False
2022-05-08;36;0;3;19;71;False
2022-05-15;37;0;6;24;74;False
2022-05-22;44;0;6;21;70;False
2022-05-29;31;0;4;22;71;False
2022-06-05;28;0;2;26;79;False
2022-06-12;28;0;15;18;69;False
2022-06-19;30;0;10;21;64;False
2022-06-26;34;0;15;22;69;False
2022-07-03;32;0;5;22;73;False
2022-07-10;18;0;4;21;76;False
2022-07-17;16;0;7;21;72;False
2022-07-24;17;0;5;25;71;False
2022-07-31;20;0;11;25;64;False
2022-08-07;14;1;3;25;62;False
2022-08-14;15;0;4;25;61;False
2022-08-21;21;0;4;24;53;False
2022-08-28;21;0;5;27;58;False
2022-09-04;28;0;5;23;63;False
2022-09-11;38;0;3;27;55;False
2022-09-18;100;0;2;21;52;False
2022-09-25;41;0;4;22;54;False
2022-10-02;43;1;7;27;52;False
2022-10-09;36;0;5;24;50;False
2022-10-16;32;0;4;27;45;False
2022-10-23;25;0;4;26;42;False
2022-10-30;37;0;3;28;42;False
2022-11-06;40;0;1;29;47;False
2022-11-13;36;0;5;26;39;False
2022-11-20;54;0;4;27;49;False
2022-11-27;38;0;5;28;48;False
2022-12-04;32;0;8;24;41;False
2022-12-11;28;1;31;26;42;False
2022-12-18;19;0;23;25;39;False
2022-12-25;56;0;17;35;52;False
2023-01-01;66;0;21;28;61;False
2023-01-08;36;0;9;24;56;False
2023-01-15;39;1;6;21;55;False
2023-01-22;40;0;6;24;50;False
2023-01-29;43;3;5;26;54;False
