date;Thomas Keneally;Engineering;Bird flu;Public services policy;air travel;isPartial
2022-01-02;0;65;18;0;6;False
2022-01-09;0;79;7;0;7;False
2022-01-16;0;81;4;0;5;False
2022-01-23;0;84;3;0;6;False
2022-01-30;0;81;3;0;7;False
2022-02-06;0;78;3;0;7;False
2022-02-13;0;75;2;0;7;False
2022-02-20;0;71;3;0;7;False
2022-02-27;0;73;3;0;6;False
2022-03-06;0;81;4;0;6;False
2022-03-13;0;78;10;0;6;False
2022-03-20;0;79;7;0;6;False
2022-03-27;0;83;5;0;7;False
2022-04-03;0;66;4;0;6;False
2022-04-10;0;65;4;0;5;False
2022-04-17;0;66;3;0;6;False
2022-04-24;0;81;4;0;6;False
2022-05-01;0;74;3;0;6;False
2022-05-08;0;86;2;0;6;False
2022-05-15;0;79;2;0;7;False
2022-05-22;0;73;2;0;6;False
2022-05-29;0;53;1;0;6;False
2022-06-05;0;73;3;0;7;False
2022-06-12;0;71;2;0;6;False
2022-06-19;0;81;3;0;6;False
2022-06-26;0;71;3;0;6;False
2022-07-03;0;66;4;0;6;False
2022-07-10;0;71;3;0;7;False
2022-07-17;0;66;3;0;6;False
2022-07-24;0;67;3;0;6;False
2022-07-31;0;65;3;0;6;False
2022-08-07;0;68;2;0;6;False
2022-08-14;0;64;2;0;5;False
2022-08-21;0;70;3;0;5;False
2022-08-28;0;60;5;0;5;False
2022-09-04;0;74;5;0;6;False
2022-09-11;0;77;3;0;5;False
2022-09-18;0;82;4;0;5;False
2022-09-25;0;80;4;0;5;False
2022-10-02;0;84;8;0;5;False
2022-10-09;0;84;8;0;4;False
2022-10-16;0;80;11;0;4;False
2022-10-23;0;74;7;0;4;False
2022-10-30;0;79;16;0;4;False
2022-11-06;0;78;14;0;4;False
2022-11-13;0;82;9;0;3;False
2022-11-20;0;67;6;0;4;False
2022-11-27;0;71;8;0;4;False
2022-12-04;0;71;5;0;4;False
2022-12-11;0;66;4;0;4;False
2022-12-18;0;55;5;0;4;False
2022-12-25;0;34;4;0;5;False
2023-01-01;0;67;3;0;5;False
2023-01-08;0;76;4;0;5;False
2023-01-15;0;100;3;0;5;False
2023-01-22;0;81;3;0;4;False
2023-01-29;0;89;6;0;5;False
