date;Guantánamo Bay;RSPB Big Garden Birdwatch;JB Priestley;Palaeontology;air travel;isPartial
2022-01-02;2;4;5;1;90;False
2022-01-09;0;2;4;3;98;False
2022-01-16;0;9;5;3;77;False
2022-01-23;0;21;6;1;84;False
2022-01-30;0;28;1;0;95;False
2022-02-06;0;2;0;2;96;False
2022-02-13;0;0;3;2;96;False
2022-02-20;0;0;4;1;98;False
2022-02-27;0;1;4;2;86;False
2022-03-06;0;2;4;2;90;False
2022-03-13;1;0;2;1;90;False
2022-03-20;0;2;3;2;88;False
2022-03-27;0;0;3;1;93;False
2022-04-03;0;1;3;2;85;False
2022-04-10;1;0;3;0;74;False
2022-04-17;0;0;4;3;82;False
2022-04-24;0;0;5;1;84;False
2022-05-01;0;0;3;0;87;False
2022-05-08;0;0;3;2;89;False
2022-05-15;0;0;6;0;93;False
2022-05-22;2;1;5;2;88;False
2022-05-29;1;2;1;1;90;False
2022-06-05;0;0;2;3;100;False
2022-06-12;0;0;2;3;87;False
2022-06-19;0;0;3;5;81;False
2022-06-26;0;0;3;7;87;False
2022-07-03;0;0;4;3;92;False
2022-07-10;1;0;6;2;95;False
2022-07-17;1;0;1;2;91;False
2022-07-24;0;0;1;0;90;False
2022-07-31;1;0;0;2;81;False
2022-08-07;3;0;0;0;78;False
2022-08-14;0;0;4;1;77;False
2022-08-21;0;0;2;0;67;False
2022-08-28;0;1;1;2;74;False
2022-09-04;0;0;6;1;80;False
2022-09-11;1;0;12;2;69;False
2022-09-18;0;1;8;3;66;False
2022-09-25;2;3;6;2;68;False
2022-10-02;0;0;4;0;65;False
2022-10-09;0;0;4;1;63;False
2022-10-16;1;0;4;1;57;False
2022-10-23;0;0;1;0;53;False
2022-10-30;0;0;6;1;53;False
2022-11-06;0;1;4;1;59;False
2022-11-13;0;0;3;3;50;False
2022-11-20;0;0;5;1;62;False
2022-11-27;0;0;3;2;61;False
2022-12-04;0;0;2;0;52;False
2022-12-11;0;0;3;3;53;False
2022-12-18;1;2;2;1;50;False
2022-12-25;0;0;4;1;66;False
2023-01-01;0;3;1;2;77;False
2023-01-08;1;2;7;2;71;False
2023-01-15;0;3;5;0;69;False
2023-01-22;0;23;5;1;64;False
2023-01-29;2;19;4;2;69;False
