date;Youth justice;Chicago;Guardian US press office;Angers SCO;air travel;isPartial
2022-01-02;1;90;0;0;9;False
2022-01-09;1;93;0;0;11;False
2022-01-16;1;92;0;0;8;False
2022-01-23;2;91;0;0;9;False
2022-01-30;1;79;0;0;10;False
2022-02-06;1;80;0;0;10;False
2022-02-13;1;88;0;0;10;False
2022-02-20;1;81;0;0;10;False
2022-02-27;1;79;0;0;9;False
2022-03-06;1;79;0;0;10;False
2022-03-13;1;87;0;0;9;False
2022-03-20;2;76;0;0;9;False
2022-03-27;1;77;0;0;10;False
2022-04-03;1;77;0;0;9;False
2022-04-10;1;79;0;0;8;False
2022-04-17;1;78;0;0;9;False
2022-04-24;2;80;0;0;9;False
2022-05-01;1;82;0;0;9;False
2022-05-08;2;82;0;0;9;False
2022-05-15;2;85;0;0;10;False
2022-05-22;1;79;0;0;9;False
2022-05-29;1;79;0;0;9;False
2022-06-05;1;82;0;0;11;False
2022-06-12;1;80;0;0;10;False
2022-06-19;1;71;0;0;9;False
2022-06-26;1;67;0;0;9;False
2022-07-03;1;100;0;0;10;False
2022-07-10;1;70;0;0;10;False
2022-07-17;1;69;0;0;10;False
2022-07-24;1;80;0;0;10;False
2022-07-31;1;71;0;0;9;False
2022-08-07;1;70;0;0;8;False
2022-08-14;1;69;0;0;8;False
2022-08-21;1;77;0;0;7;False
2022-08-28;1;67;0;0;8;False
2022-09-04;1;56;0;0;8;False
2022-09-11;1;71;0;0;7;False
2022-09-18;1;61;0;0;7;False
2022-09-25;1;58;0;0;7;False
2022-10-02;1;68;0;0;7;False
2022-10-09;1;71;0;0;7;False
2022-10-16;1;60;0;0;6;False
2022-10-23;1;61;0;0;6;False
2022-10-30;1;58;0;0;6;False
2022-11-06;1;54;0;0;6;False
2022-11-13;2;58;0;0;5;False
2022-11-20;1;47;0;0;7;False
2022-11-27;1;56;0;0;6;False
2022-12-04;1;52;0;0;5;False
2022-12-11;1;51;0;0;6;False
2022-12-18;1;70;0;0;5;False
2022-12-25;1;62;0;0;7;False
2023-01-01;1;59;0;0;8;False
2023-01-08;1;59;0;0;7;False
2023-01-15;1;59;0;0;7;False
2023-01-22;1;60;0;0;7;False
2023-01-29;1;67;0;0;7;False
