date;Poison;Kevin Rudd;Buffalo Bills;Uefa;air travel;isPartial
2022-01-02;35;0;3;10;11;False
2022-01-09;33;0;3;9;12;False
2022-01-16;31;0;7;10;10;False
2022-01-23;32;0;8;12;11;False
2022-01-30;33;0;2;11;12;False
2022-02-06;30;0;1;13;12;False
2022-02-13;29;0;2;37;12;False
2022-02-20;30;0;1;48;12;False
2022-02-27;35;0;1;18;11;False
2022-03-06;35;0;1;39;11;False
2022-03-13;32;0;1;52;11;False
2022-03-20;35;0;1;25;11;False
2022-03-27;33;0;1;20;12;False
2022-04-03;31;0;1;35;11;False
2022-04-10;37;0;1;57;9;False
2022-04-17;34;0;1;24;10;False
2022-04-24;33;0;1;41;11;False
2022-05-01;34;0;1;82;11;False
2022-05-08;32;0;1;38;11;False
2022-05-15;34;0;2;49;12;False
2022-05-22;32;1;1;70;11;False
2022-05-29;36;0;1;71;11;False
2022-06-05;34;0;1;100;13;False
2022-06-12;33;0;1;50;11;False
2022-06-19;41;1;1;18;10;False
2022-06-26;33;0;1;15;11;False
2022-07-03;33;0;1;28;12;False
2022-07-10;33;0;1;39;12;False
2022-07-17;30;0;1;47;11;False
2022-07-24;33;0;1;50;11;False
2022-07-31;37;0;1;43;10;False
2022-08-07;34;0;1;26;10;False
2022-08-14;28;0;1;15;10;False
2022-08-21;30;0;2;46;9;False
2022-08-28;32;0;4;16;9;False
2022-09-04;32;0;4;73;10;False
2022-09-11;33;0;2;68;9;False
2022-09-18;31;0;5;43;8;False
2022-09-25;34;0;5;45;9;False
2022-10-02;35;0;3;58;8;False
2022-10-09;34;0;4;70;8;False
2022-10-16;35;0;4;15;7;False
2022-10-23;40;0;2;66;7;False
2022-10-30;33;0;4;72;7;False
2022-11-06;33;0;3;26;8;False
2022-11-13;33;0;5;12;6;False
2022-11-20;36;0;5;13;8;False
2022-11-27;37;0;3;12;8;False
2022-12-04;32;0;1;12;7;False
2022-12-11;34;0;4;12;7;False
2022-12-18;37;0;6;14;6;False
2022-12-25;39;0;3;9;8;False
2023-01-01;38;0;15;10;10;False
2023-01-08;31;0;6;11;9;False
2023-01-15;37;0;9;10;9;False
2023-01-22;34;0;9;12;8;False
2023-01-29;34;0;1;12;9;False
