date;Joaquín 'El Chapo' Guzmán;uk economy;British Airways;jeremy clarkson;air travel;isPartial
2022-01-02;0;2;80;8;4;False
2022-01-09;0;3;78;6;5;False
2022-01-16;0;3;73;4;4;False
2022-01-23;0;3;75;5;4;False
2022-01-30;0;3;68;6;5;False
2022-02-06;0;4;65;5;5;False
2022-02-13;0;3;66;7;5;False
2022-02-20;0;4;88;9;5;False
2022-02-27;0;4;69;4;4;False
2022-03-06;0;4;70;4;4;False
2022-03-13;0;4;69;6;4;False
2022-03-20;0;4;74;4;4;False
2022-03-27;0;3;76;3;5;False
2022-04-03;0;3;75;5;4;False
2022-04-10;0;3;70;6;4;False
2022-04-17;0;3;65;5;4;False
2022-04-24;0;3;69;4;4;False
2022-05-01;0;6;80;4;4;False
2022-05-08;0;4;71;3;4;False
2022-05-15;0;3;71;3;5;False
2022-05-22;0;3;68;5;4;False
2022-05-29;0;3;71;5;4;False
2022-06-05;0;4;74;6;5;False
2022-06-12;0;4;71;4;4;False
2022-06-19;0;3;81;5;4;False
2022-06-26;0;3;71;5;4;False
2022-07-03;0;4;74;5;4;False
2022-07-10;0;3;79;6;5;False
2022-07-17;0;2;68;6;4;False
2022-07-24;0;3;75;4;4;False
2022-07-31;0;3;65;4;4;False
2022-08-07;0;4;64;6;4;False
2022-08-14;0;3;58;8;4;False
2022-08-21;0;4;65;5;3;False
2022-08-28;0;4;70;5;4;False
2022-09-04;0;4;67;6;4;False
2022-09-11;0;4;72;10;3;False
2022-09-18;0;5;63;7;3;False
2022-09-25;0;11;64;10;3;False
2022-10-02;0;6;62;6;3;False
2022-10-09;0;6;57;7;3;False
2022-10-16;0;6;61;6;3;False
2022-10-23;0;4;58;5;3;False
2022-10-30;0;5;60;6;3;False
2022-11-06;0;5;61;4;3;False
2022-11-13;0;5;55;4;2;False
2022-11-20;0;4;51;4;3;False
2022-11-27;0;4;53;4;3;False
2022-12-04;0;3;51;4;3;False
2022-12-11;0;4;58;5;3;False
2022-12-18;0;3;60;100;2;False
2022-12-25;0;3;70;10;3;False
2023-01-01;0;4;99;7;4;False
2023-01-08;0;4;88;11;3;False
2023-01-15;0;4;78;35;3;False
2023-01-22;0;4;86;9;3;False
2023-01-29;0;5;82;9;3;False
