date;Pesticides;Military;Teacher training;Indigenous art;air travel;isPartial
2022-01-02;1;29;2;0;4;False
2022-01-09;0;33;3;0;5;False
2022-01-16;1;32;3;0;4;False
2022-01-23;1;40;3;0;4;False
2022-01-30;1;37;3;0;5;False
2022-02-06;1;34;3;0;5;False
2022-02-13;1;41;2;0;5;False
2022-02-20;1;100;2;0;5;False
2022-02-27;1;79;3;0;4;False
2022-03-06;1;58;3;0;4;False
2022-03-13;1;51;3;0;4;False
2022-03-20;1;43;3;0;4;False
2022-03-27;1;37;2;0;4;False
2022-04-03;0;30;2;0;4;False
2022-04-10;1;40;2;0;3;False
2022-04-17;1;35;2;0;4;False
2022-04-24;1;39;3;0;4;False
2022-05-01;1;43;3;0;4;False
2022-05-08;1;40;3;0;4;False
2022-05-15;1;42;3;0;4;False
2022-05-22;1;41;3;0;4;False
2022-05-29;1;45;2;0;4;False
2022-06-05;1;38;3;0;5;False
2022-06-12;1;36;2;0;4;False
2022-06-19;1;36;3;0;4;False
2022-06-26;1;37;2;0;4;False
2022-07-03;1;37;3;0;4;False
2022-07-10;1;33;2;0;5;False
2022-07-17;1;35;2;0;4;False
2022-07-24;1;36;2;0;4;False
2022-07-31;1;43;2;0;4;False
2022-08-07;1;41;2;0;4;False
2022-08-14;0;34;2;0;4;False
2022-08-21;1;37;2;0;3;False
2022-08-28;1;39;2;0;4;False
2022-09-04;1;38;2;0;4;False
2022-09-11;0;65;2;0;3;False
2022-09-18;1;72;2;0;3;False
2022-09-25;1;41;3;0;3;False
2022-10-02;1;37;3;0;3;False
2022-10-09;1;38;3;0;3;False
2022-10-16;1;43;3;0;3;False
2022-10-23;0;38;2;0;3;False
2022-10-30;1;35;3;0;3;False
2022-11-06;1;42;3;0;3;False
2022-11-13;1;41;2;0;2;False
2022-11-20;1;33;2;0;3;False
2022-11-27;1;34;2;0;3;False
2022-12-04;0;31;2;0;2;False
2022-12-11;1;36;2;0;3;False
2022-12-18;0;29;1;0;2;False
2022-12-25;0;36;2;0;3;False
2023-01-01;1;39;3;0;4;False
2023-01-08;1;35;3;0;3;False
2023-01-15;1;41;3;0;3;False
2023-01-22;1;36;3;0;3;False
2023-01-29;1;36;3;0;3;False
