date;Macau;US press and publishing;Extinct wildlife;Class issues;air travel;isPartial
2022-01-02;27;0;0;2;90;False
2022-01-09;23;0;0;4;98;False
2022-01-16;30;0;0;3;77;False
2022-01-23;40;0;0;1;84;False
2022-01-30;35;0;0;3;95;False
2022-02-06;22;0;0;2;96;False
2022-02-13;26;0;0;2;96;False
2022-02-20;26;0;0;2;98;False
2022-02-27;25;0;0;1;86;False
2022-03-06;27;0;0;4;90;False
2022-03-13;25;0;0;3;90;False
2022-03-20;25;0;0;1;88;False
2022-03-27;26;0;0;2;93;False
2022-04-03;30;0;0;3;85;False
2022-04-10;28;0;0;2;74;False
2022-04-17;24;0;0;4;82;False
2022-04-24;24;0;0;2;84;False
2022-05-01;37;0;0;3;87;False
2022-05-08;25;0;0;3;89;False
2022-05-15;31;0;0;3;93;False
2022-05-22;22;0;0;1;88;False
2022-05-29;33;0;0;3;90;False
2022-06-05;30;0;0;6;100;False
2022-06-12;29;0;0;1;87;False
2022-06-19;25;0;0;3;81;False
2022-06-26;25;0;0;3;87;False
2022-07-03;28;0;0;0;92;False
2022-07-10;30;0;0;2;95;False
2022-07-17;19;0;0;2;91;False
2022-07-24;23;0;0;0;90;False
2022-07-31;30;0;0;1;81;False
2022-08-07;40;0;0;2;78;False
2022-08-14;21;0;0;1;77;False
2022-08-21;25;0;0;0;67;False
2022-08-28;24;0;0;2;74;False
2022-09-04;18;0;0;2;80;False
2022-09-11;23;0;0;1;69;False
2022-09-18;23;0;0;2;66;False
2022-09-25;16;0;0;2;68;False
2022-10-02;20;0;0;2;65;False
2022-10-09;24;0;0;1;63;False
2022-10-16;20;0;0;1;57;False
2022-10-23;24;0;0;3;53;False
2022-10-30;27;0;0;1;53;False
2022-11-06;26;0;0;1;59;False
2022-11-13;37;0;0;0;50;False
2022-11-20;25;0;0;4;62;False
2022-11-27;30;0;0;1;61;False
2022-12-04;25;0;0;4;52;False
2022-12-11;22;0;0;3;53;False
2022-12-18;38;0;0;2;50;False
2022-12-25;29;0;0;7;66;False
2023-01-01;21;0;0;1;77;False
2023-01-08;30;0;0;2;71;False
2023-01-15;28;0;0;0;69;False
2023-01-22;20;0;0;3;64;False
2023-01-29;27;0;0;2;69;False
