date;Homelessness;Virtual reality;Philosophy;Warren Gatland;air travel;isPartial
2022-01-02;17;24;76;1;38;False
2022-01-09;18;19;89;1;42;False
2022-01-16;16;21;78;1;33;False
2022-01-23;17;22;89;1;36;False
2022-01-30;18;18;77;1;41;False
2022-02-06;14;21;85;2;41;False
2022-02-13;14;19;80;1;41;False
2022-02-20;18;19;82;1;42;False
2022-02-27;17;14;83;0;36;False
2022-03-06;19;18;88;1;38;False
2022-03-13;16;19;90;1;38;False
2022-03-20;18;15;86;2;37;False
2022-03-27;19;18;84;0;39;False
2022-04-03;16;20;71;0;36;False
2022-04-10;14;17;72;0;31;False
2022-04-17;15;15;80;0;35;False
2022-04-24;16;16;88;0;36;False
2022-05-01;17;20;91;1;37;False
2022-05-08;16;17;98;0;38;False
2022-05-15;15;13;95;1;39;False
2022-05-22;14;14;81;1;37;False
2022-05-29;11;15;67;0;38;False
2022-06-05;16;16;85;2;42;False
2022-06-12;16;14;72;1;37;False
2022-06-19;14;11;69;0;34;False
2022-06-26;14;15;60;1;37;False
2022-07-03;12;14;58;0;39;False
2022-07-10;10;12;60;2;40;False
2022-07-17;13;15;53;1;38;False
2022-07-24;13;17;56;0;38;False
2022-07-31;10;15;58;0;34;False
2022-08-07;13;13;54;0;33;False
2022-08-14;11;15;60;0;33;False
2022-08-21;13;12;68;0;29;False
2022-08-28;11;15;68;1;31;False
2022-09-04;14;11;83;0;34;False
2022-09-11;16;15;82;0;29;False
2022-09-18;15;16;78;0;28;False
2022-09-25;19;15;87;1;29;False
2022-10-02;18;15;93;2;28;False
2022-10-09;18;14;93;1;27;False
2022-10-16;17;14;84;1;24;False
2022-10-23;13;18;83;0;23;False
2022-10-30;18;21;89;2;22;False
2022-11-06;16;22;100;4;25;False
2022-11-13;22;22;90;4;21;False
2022-11-20;16;21;85;3;26;False
2022-11-27;19;22;91;9;26;False
2022-12-04;18;19;86;30;22;False
2022-12-11;18;17;71;4;23;False
2022-12-18;13;22;62;1;21;False
2022-12-25;8;24;65;1;28;False
2023-01-01;14;16;84;3;33;False
2023-01-08;18;17;87;4;30;False
2023-01-15;20;14;88;4;29;False
2023-01-22;15;16;93;2;27;False
2023-01-29;19;15;82;21;29;False
