date;Short breaks;AL Kennedy;Insulate Britain;fifa;air travel;isPartial
2023-01-01;5;0;0;96;3;False
2023-01-02;5;0;0;99;3;False
2023-01-03;4;0;0;85;2;False
2023-01-04;4;0;0;78;3;False
2023-01-05;4;0;0;75;2;False
2023-01-06;4;1;0;77;2;False
2023-01-07;4;0;0;89;2;False
2023-01-08;6;0;0;88;3;False
2023-01-09;4;0;0;80;2;False
2023-01-10;4;0;0;86;3;False
2023-01-11;4;0;0;73;3;False
2023-01-12;4;0;0;95;2;False
2023-01-13;4;0;0;74;2;False
2023-01-14;4;0;0;84;2;False
2023-01-15;6;0;0;88;2;False
2023-01-16;4;0;0;67;2;False
2023-01-17;5;0;0;65;2;False
2023-01-18;4;0;0;70;3;False
2023-01-19;3;0;0;74;2;False
2023-01-20;3;0;0;89;2;False
2023-01-21;5;0;0;100;2;False
2023-01-22;4;0;0;89;2;False
2023-01-23;4;0;0;81;2;False
2023-01-24;3;0;0;71;2;False
2023-01-25;3;0;0;71;3;False
2023-01-26;5;0;0;68;2;False
2023-01-27;4;0;0;74;2;False
2023-01-28;3;0;0;84;2;False
2023-01-29;5;0;0;86;2;False
2023-01-30;4;0;0;73;3;False
2023-01-31;4;0;0;75;3;False
