date;International criminal court;Bayer;prime minister's questions;Venus;air travel;isPartial
2022-01-02;0;4;1;31;10;False
2022-01-09;1;4;7;31;11;False
2022-01-16;1;4;3;32;8;False
2022-01-23;1;4;2;32;9;False
2022-01-30;0;4;2;30;10;False
2022-02-06;0;7;1;32;10;False
2022-02-13;0;6;1;28;10;False
2022-02-20;1;4;0;27;11;False
2022-02-27;3;4;1;30;9;False
2022-03-06;1;5;0;26;10;False
2022-03-13;1;6;0;29;10;False
2022-03-20;1;5;0;29;9;False
2022-03-27;0;4;0;38;10;False
2022-04-03;0;4;0;28;9;False
2022-04-10;0;5;1;26;8;False
2022-04-17;0;4;1;27;9;False
2022-04-24;0;4;0;30;9;False
2022-05-01;0;5;0;29;9;False
2022-05-08;0;4;1;28;10;False
2022-05-15;0;4;0;29;10;False
2022-05-22;0;4;0;27;9;False
2022-05-29;0;3;0;26;10;False
2022-06-05;0;3;0;29;11;False
2022-06-12;0;4;0;29;9;False
2022-06-19;0;3;0;31;9;False
2022-06-26;0;4;0;100;9;False
2022-07-03;0;3;4;62;10;False
2022-07-10;0;3;1;41;10;False
2022-07-17;0;4;0;33;10;False
2022-07-24;0;4;0;32;10;False
2022-07-31;0;5;0;28;9;False
2022-08-07;0;4;0;34;8;False
2022-08-14;0;4;0;30;8;False
2022-08-21;0;4;0;27;7;False
2022-08-28;0;4;0;38;8;False
2022-09-04;0;5;1;29;9;False
2022-09-11;0;6;0;27;7;False
2022-09-18;0;4;0;25;7;False
2022-09-25;0;5;0;26;7;False
2022-10-02;0;5;0;26;7;False
2022-10-09;0;6;0;27;7;False
2022-10-16;0;4;1;25;6;False
2022-10-23;0;6;1;23;6;False
2022-10-30;0;5;0;23;6;False
2022-11-06;0;5;0;25;6;False
2022-11-13;0;4;0;22;5;False
2022-11-20;0;4;0;22;7;False
2022-11-27;0;4;0;24;7;False
2022-12-04;0;6;0;23;6;False
2022-12-11;0;4;0;22;6;False
2022-12-18;0;3;0;22;5;False
2022-12-25;0;2;0;24;7;False
2023-01-01;0;4;0;26;8;False
2023-01-08;1;4;0;26;8;False
2023-01-15;0;5;0;28;7;False
2023-01-22;0;6;0;26;7;False
2023-01-29;0;5;0;27;7;False
