date;new delhi;United Kingdom holidays;colorado;Australian Open;air travel;isPartial
2023-01-01;0;0;3;2;1;False
2023-01-02;1;0;2;3;1;False
2023-01-03;1;0;2;1;1;False
2023-01-04;0;0;2;2;1;False
2023-01-05;1;0;2;2;1;False
2023-01-06;1;0;2;2;1;False
2023-01-07;1;0;2;3;1;False
2023-01-08;1;0;2;4;1;False
2023-01-09;1;0;2;4;1;False
2023-01-10;1;0;2;4;1;False
2023-01-11;1;0;2;4;1;False
2023-01-12;0;0;2;8;1;False
2023-01-13;1;0;2;7;1;False
2023-01-14;1;0;2;10;1;False
2023-01-15;1;0;2;15;1;False
2023-01-16;1;0;2;41;1;False
2023-01-17;1;0;2;52;1;False
2023-01-18;1;0;2;56;1;False
2023-01-19;1;0;2;100;1;False
2023-01-20;1;0;2;64;1;False
2023-01-21;1;0;2;82;1;False
2023-01-22;1;0;2;46;1;False
2023-01-23;1;0;3;38;1;False
2023-01-24;1;0;2;39;1;False
2023-01-25;0;0;2;38;1;False
2023-01-26;1;0;2;34;1;False
2023-01-27;1;0;2;37;1;False
2023-01-28;1;0;2;39;1;False
2023-01-29;1;0;2;51;1;False
2023-01-30;1;0;2;4;2;False
2023-01-31;1;0;2;2;1;False
