date;Simone de Beauvoir;donald trump;Soil;Indira Gandhi;air travel;isPartial
2023-01-01;0;35;54;0;14;False
2023-01-02;1;28;66;2;17;False
2023-01-03;0;21;58;0;11;False
2023-01-04;0;31;65;0;17;False
2023-01-05;2;25;64;2;14;False
2023-01-06;0;31;65;1;14;False
2023-01-07;0;30;62;0;10;False
2023-01-08;0;29;64;0;16;False
2023-01-09;1;23;67;1;9;False
2023-01-10;2;21;100;1;15;False
2023-01-11;1;19;67;3;17;False
2023-01-12;0;23;63;1;14;False
2023-01-13;1;20;66;0;11;False
2023-01-14;0;24;58;1;11;False
2023-01-15;2;28;71;1;12;False
2023-01-16;0;18;79;2;13;False
2023-01-17;0;19;68;2;10;False
2023-01-18;2;17;66;3;15;False
2023-01-19;2;23;63;2;14;False
2023-01-20;2;26;65;1;11;False
2023-01-21;1;20;67;2;12;False
2023-01-22;0;17;64;1;13;False
2023-01-23;0;21;77;2;14;False
2023-01-24;2;26;74;1;10;False
2023-01-25;0;19;59;2;14;False
2023-01-26;0;29;72;0;13;False
2023-01-27;1;25;65;2;9;False
2023-01-28;0;18;70;4;12;False
2023-01-29;0;20;82;3;11;False
2023-01-30;1;21;66;1;19;False
2023-01-31;1;26;80;2;16;False
