date;eurostar;Gold Coast;Spain;Pharmaceuticals industry;air travel;isPartial
2023-01-01;30;3;85;0;3;False
2023-01-02;32;10;92;0;4;False
2023-01-03;30;10;86;0;2;False
2023-01-04;28;5;83;0;4;False
2023-01-05;26;5;83;0;3;False
2023-01-06;23;2;83;0;3;False
2023-01-07;25;3;81;0;2;False
2023-01-08;29;4;100;0;3;False
2023-01-09;26;3;81;0;2;False
2023-01-10;32;2;86;0;3;False
2023-01-11;29;2;84;0;4;False
2023-01-12;26;3;83;0;3;False
2023-01-13;26;2;79;0;2;False
2023-01-14;28;3;83;0;2;False
2023-01-15;35;3;96;0;3;False
2023-01-16;29;2;80;0;3;False
2023-01-17;33;1;79;0;2;False
2023-01-18;27;2;81;0;3;False
2023-01-19;25;2;81;0;3;False
2023-01-20;24;2;80;0;2;False
2023-01-21;24;2;87;0;3;False
2023-01-22;28;2;97;0;3;False
2023-01-23;29;3;87;0;3;False
2023-01-24;30;3;82;0;2;False
2023-01-25;34;2;80;1;3;False
2023-01-26;27;1;73;0;3;False
2023-01-27;24;2;79;0;2;False
2023-01-28;25;2;81;0;3;False
2023-01-29;30;3;89;0;2;False
2023-01-30;26;2;80;1;4;False
2023-01-31;24;2;81;0;3;False
