date;Sewing;Installation;US domestic policy;College basketball;air travel;isPartial
2022-01-02;58;54;0;1;9;False
2022-01-09;54;60;0;1;10;False
2022-01-16;47;53;0;1;8;False
2022-01-23;52;58;0;1;9;False
2022-01-30;52;64;0;1;10;False
2022-02-06;46;59;0;1;10;False
2022-02-13;50;63;0;1;10;False
2022-02-20;48;61;0;1;10;False
2022-02-27;49;64;0;1;9;False
2022-03-06;48;62;0;2;9;False
2022-03-13;48;62;0;2;9;False
2022-03-20;43;67;0;2;9;False
2022-03-27;44;62;0;2;9;False
2022-04-03;46;0;0;2;9;False
2022-04-10;45;0;0;1;7;False
2022-04-17;50;0;0;1;8;False
2022-04-24;83;0;0;1;9;False
2022-05-01;81;0;0;1;9;False
2022-05-08;73;0;0;1;9;False
2022-05-15;77;0;0;1;9;False
2022-05-22;69;0;0;1;9;False
2022-05-29;69;0;0;0;9;False
2022-06-05;86;0;0;1;10;False
2022-06-12;79;0;0;1;9;False
2022-06-19;81;0;0;1;8;False
2022-06-26;100;0;0;1;9;False
2022-07-03;56;0;0;1;9;False
2022-07-10;50;0;0;1;10;False
2022-07-17;46;0;0;0;9;False
2022-07-24;51;0;0;1;9;False
2022-07-31;47;0;0;1;8;False
2022-08-07;46;0;0;0;8;False
2022-08-14;46;0;0;1;8;False
2022-08-21;49;0;0;1;7;False
2022-08-28;50;0;0;1;7;False
2022-09-04;46;0;0;1;8;False
2022-09-11;44;0;0;1;7;False
2022-09-18;46;0;0;1;7;False
2022-09-25;45;0;0;1;7;False
2022-10-02;48;0;0;1;7;False
2022-10-09;47;0;0;1;6;False
2022-10-16;47;0;0;1;6;False
2022-10-23;49;0;0;1;5;False
2022-10-30;51;0;0;1;5;False
2022-11-06;53;0;0;1;6;False
2022-11-13;52;0;0;1;5;False
2022-11-20;59;0;0;1;6;False
2022-11-27;52;0;0;1;6;False
2022-12-04;46;0;0;1;5;False
2022-12-11;42;0;0;2;5;False
2022-12-18;53;0;0;2;5;False
2022-12-25;49;0;0;1;7;False
2023-01-01;53;0;0;1;8;False
2023-01-08;51;0;0;1;7;False
2023-01-15;49;0;0;1;7;False
2023-01-22;50;0;0;1;6;False
2023-01-29;53;0;0;1;7;False
