date;Keeley Hawes;Grace Wales Bonner;Schizophrenia;Attention deficit hyperactivity disorder;air travel;isPartial
2022-01-02;8;0;47;1;34;False
2022-01-09;4;0;50;1;37;False
2022-01-16;6;0;49;0;29;False
2022-01-23;8;0;50;1;32;False
2022-01-30;8;0;58;1;36;False
2022-02-06;6;0;50;0;36;False
2022-02-13;4;0;48;0;36;False
2022-02-20;5;0;47;1;37;False
2022-02-27;4;0;56;0;32;False
2022-03-06;7;0;72;0;34;False
2022-03-13;4;1;59;0;34;False
2022-03-20;3;1;56;1;33;False
2022-03-27;6;0;51;0;35;False
2022-04-03;4;0;49;0;32;False
2022-04-10;4;0;44;0;28;False
2022-04-17;7;1;44;1;31;False
2022-04-24;8;0;49;0;32;False
2022-05-01;6;0;52;0;33;False
2022-05-08;5;0;55;0;33;False
2022-05-15;7;0;51;0;35;False
2022-05-22;16;0;49;1;33;False
2022-05-29;28;0;36;1;34;False
2022-06-05;30;0;42;1;37;False
2022-06-12;21;0;53;0;33;False
2022-06-19;14;1;43;1;30;False
2022-06-26;9;0;40;1;33;False
2022-07-03;7;0;39;0;34;False
2022-07-10;8;0;39;0;36;False
2022-07-17;6;0;37;1;34;False
2022-07-24;10;0;37;1;34;False
2022-07-31;7;0;39;0;30;False
2022-08-07;5;0;41;0;29;False
2022-08-14;8;0;37;0;29;False
2022-08-21;7;0;39;1;25;False
2022-08-28;15;1;36;0;28;False
2022-09-04;10;0;39;0;30;False
2022-09-11;18;1;44;0;26;False
2022-09-18;100;1;41;0;25;False
2022-09-25;42;0;43;0;26;False
2022-10-02;20;0;48;4;24;False
2022-10-09;15;0;52;1;23;False
2022-10-16;13;0;46;1;21;False
2022-10-23;9;0;46;0;20;False
2022-10-30;6;0;45;0;20;False
2022-11-06;5;0;48;1;22;False
2022-11-13;6;0;50;0;19;False
2022-11-20;6;1;45;0;23;False
2022-11-27;5;0;49;1;23;False
2022-12-04;7;1;49;1;19;False
2022-12-11;6;0;48;0;20;False
2022-12-18;10;0;39;1;19;False
2022-12-25;13;0;38;0;24;False
2023-01-01;59;2;44;1;29;False
2023-01-08;18;0;49;0;26;False
2023-01-15;11;1;52;0;26;False
2023-01-22;7;0;77;1;24;False
2023-01-29;7;0;63;0;26;False
