date;Adam Bandt;Cannabis;Wet Leg;The Kennedys;air travel;isPartial
2022-01-02;0;99;16;2;31;False
2022-01-09;0;100;18;1;34;False
2022-01-16;0;91;13;1;27;False
2022-01-23;0;95;15;1;29;False
2022-01-30;0;94;16;3;33;False
2022-02-06;0;86;7;1;33;False
2022-02-13;0;85;6;2;33;False
2022-02-20;0;81;12;0;34;False
2022-02-27;1;83;13;1;30;False
2022-03-06;0;88;22;1;31;False
2022-03-13;0;95;14;1;31;False
2022-03-20;0;93;14;2;30;False
2022-03-27;0;88;19;0;32;False
2022-04-03;0;93;51;1;29;False
2022-04-10;0;83;52;1;26;False
2022-04-17;0;91;40;2;28;False
2022-04-24;0;91;32;1;29;False
2022-05-01;0;96;22;4;30;False
2022-05-08;0;99;21;2;31;False
2022-05-15;0;92;19;1;32;False
2022-05-22;0;93;22;1;31;False
2022-05-29;0;93;26;0;31;False
2022-06-05;0;90;16;2;35;False
2022-06-12;0;91;18;1;30;False
2022-06-19;1;92;77;2;28;False
2022-06-26;0;95;56;2;30;False
2022-07-03;0;92;31;2;32;False
2022-07-10;0;85;25;2;33;False
2022-07-17;0;90;20;1;31;False
2022-07-24;0;97;26;4;31;False
2022-07-31;0;91;16;3;28;False
2022-08-07;0;86;15;1;27;False
2022-08-14;0;80;17;1;27;False
2022-08-21;0;85;17;1;23;False
2022-08-28;1;90;24;2;26;False
2022-09-04;0;88;23;1;28;False
2022-09-11;0;92;13;1;24;False
2022-09-18;0;84;11;2;23;False
2022-09-25;0;91;13;2;24;False
2022-10-02;0;97;12;2;23;False
2022-10-09;0;100;12;1;22;False
2022-10-16;0;85;21;1;20;False
2022-10-23;0;95;18;2;18;False
2022-10-30;0;79;14;2;18;False
2022-11-06;0;84;16;2;21;False
2022-11-13;1;81;37;1;17;False
2022-11-20;0;72;29;1;22;False
2022-11-27;0;79;18;1;21;False
2022-12-04;0;83;11;2;18;False
2022-12-11;0;70;10;1;18;False
2022-12-18;0;76;10;1;17;False
2022-12-25;0;77;14;0;23;False
2023-01-01;0;90;7;2;27;False
2023-01-08;0;86;22;1;25;False
2023-01-15;0;82;12;2;24;False
2023-01-22;0;82;9;2;22;False
2023-01-29;0;84;14;1;24;False
