date;Chester;Walt Disney Company;philippines;Soul;air travel;isPartial
2023-01-01;96;1;22;47;4;False
2023-01-02;96;0;25;48;5;False
2023-01-03;87;1;21;43;3;False
2023-01-04;85;1;24;43;5;False
2023-01-05;86;0;24;37;4;False
2023-01-06;90;0;22;38;4;False
2023-01-07;89;0;22;45;3;False
2023-01-08;89;0;26;48;5;False
2023-01-09;81;0;24;38;3;False
2023-01-10;81;0;21;41;4;False
2023-01-11;81;1;22;36;5;False
2023-01-12;91;0;21;38;4;False
2023-01-13;86;0;27;45;3;False
2023-01-14;89;0;22;47;3;False
2023-01-15;88;0;24;49;4;False
2023-01-16;88;0;22;41;4;False
2023-01-17;88;0;21;37;3;False
2023-01-18;83;0;23;42;4;False
2023-01-19;80;0;22;39;4;False
2023-01-20;85;0;20;40;3;False
2023-01-21;98;0;23;50;3;False
2023-01-22;83;1;23;47;4;False
2023-01-23;88;1;19;39;4;False
2023-01-24;86;1;22;41;3;False
2023-01-25;83;1;20;40;4;False
2023-01-26;85;0;20;37;4;False
2023-01-27;89;0;23;41;3;False
2023-01-28;100;0;22;49;4;False
2023-01-29;91;0;22;49;3;False
2023-01-30;95;0;23;38;5;False
2023-01-31;92;0;22;40;5;False
