date;Vegetables;Finland;Shakespeare's Globe;Heartbreak High;air travel;isPartial
2022-01-02;52;33;0;1;11;False
2022-01-09;55;34;0;1;13;False
2022-01-16;48;28;1;1;10;False
2022-01-23;47;30;1;0;11;False
2022-01-30;51;28;0;1;12;False
2022-02-06;44;29;0;1;12;False
2022-02-13;44;29;0;1;12;False
2022-02-20;46;83;0;0;13;False
2022-02-27;46;79;1;1;11;False
2022-03-06;47;40;1;0;12;False
2022-03-13;44;35;0;1;11;False
2022-03-20;46;32;0;0;11;False
2022-03-27;42;28;0;1;12;False
2022-04-03;41;30;0;1;11;False
2022-04-10;59;51;0;1;9;False
2022-04-17;44;30;0;1;10;False
2022-04-24;42;32;0;1;11;False
2022-05-01;45;36;1;0;11;False
2022-05-08;45;100;1;1;11;False
2022-05-15;43;66;1;0;12;False
2022-05-22;43;29;0;1;11;False
2022-05-29;39;31;1;1;11;False
2022-06-05;45;35;1;1;13;False
2022-06-12;44;29;0;1;11;False
2022-06-19;43;26;1;1;10;False
2022-06-26;44;34;1;0;11;False
2022-07-03;41;35;1;0;12;False
2022-07-10;42;39;1;1;12;False
2022-07-17;39;28;0;1;12;False
2022-07-24;42;26;0;1;12;False
2022-07-31;43;27;1;1;10;False
2022-08-07;46;26;1;1;10;False
2022-08-14;39;39;0;1;10;False
2022-08-21;43;40;0;0;9;False
2022-08-28;46;25;0;0;9;False
2022-09-04;44;25;1;1;10;False
2022-09-11;45;27;0;8;9;False
2022-09-18;44;32;0;22;9;False
2022-09-25;43;31;0;21;9;False
2022-10-02;47;27;0;16;8;False
2022-10-09;46;27;0;11;8;False
2022-10-16;43;24;0;7;7;False
2022-10-23;44;27;0;6;7;False
2022-10-30;41;27;0;3;7;False
2022-11-06;46;27;0;3;8;False
2022-11-13;42;31;0;2;6;False
2022-11-20;39;31;0;2;8;False
2022-11-27;39;36;0;3;8;False
2022-12-04;36;35;0;2;7;False
2022-12-11;40;36;0;2;7;False
2022-12-18;63;37;0;3;6;False
2022-12-25;50;34;0;2;8;False
2023-01-01;51;33;0;3;10;False
2023-01-08;47;31;1;3;9;False
2023-01-15;48;31;0;2;9;False
2023-01-22;47;28;0;2;8;False
2023-01-29;47;31;0;2;9;False
