date;cop28;nicola bulley;Taliban;Jonathan Ashworth;air travel;isPartial
2023-01-01;0;0;4;1;9;False
2023-01-02;0;0;3;1;10;False
2023-01-03;1;0;4;0;7;False
2023-01-04;2;0;5;0;10;False
2023-01-05;2;0;10;0;8;False
2023-01-06;0;0;49;0;8;False
2023-01-07;0;1;31;1;6;False
2023-01-08;1;0;26;0;9;False
2023-01-09;0;0;18;0;6;False
2023-01-10;1;0;14;1;9;False
2023-01-11;1;0;23;0;10;False
2023-01-12;2;0;20;0;8;False
2023-01-13;1;0;9;0;7;False
2023-01-14;1;2;10;0;6;False
2023-01-15;1;0;8;0;7;False
2023-01-16;1;1;8;0;8;False
2023-01-17;2;0;5;0;6;False
2023-01-18;1;1;11;1;9;False
2023-01-19;1;0;6;0;8;False
2023-01-20;0;0;5;0;7;False
2023-01-21;0;0;5;1;7;False
2023-01-22;1;0;4;0;8;False
2023-01-23;1;1;3;2;8;False
2023-01-24;1;0;5;0;6;False
2023-01-25;1;0;2;0;8;False
2023-01-26;1;0;3;0;8;False
2023-01-27;0;0;3;1;5;False
2023-01-28;0;8;3;0;7;False
2023-01-29;0;13;3;0;7;False
2023-01-30;1;62;6;1;11;False
2023-01-31;1;100;5;0;9;False
