date;Australian television;gaza;Teen books;Fertility problems;air travel;isPartial
2022-01-02;1;22;4;1;87;False
2022-01-09;1;18;5;3;100;False
2022-01-16;2;18;5;1;74;False
2022-01-23;0;18;5;1;82;False
2022-01-30;0;14;3;1;94;False
2022-02-06;0;18;3;3;93;False
2022-02-13;0;17;5;1;94;False
2022-02-20;0;20;7;1;95;False
2022-02-27;0;28;9;1;83;False
2022-03-06;0;23;5;3;88;False
2022-03-13;1;23;4;2;87;False
2022-03-20;0;19;4;2;85;False
2022-03-27;0;24;5;1;90;False
2022-04-03;0;16;5;2;84;False
2022-04-10;1;24;4;2;71;False
2022-04-17;0;41;5;2;78;False
2022-04-24;0;19;5;2;82;False
2022-05-01;0;20;6;2;84;False
2022-05-08;0;23;4;2;87;False
2022-05-15;1;18;4;5;90;False
2022-05-22;0;16;4;2;85;False
2022-05-29;0;15;3;0;87;False
2022-06-05;0;16;4;0;97;False
2022-06-12;2;16;5;0;87;False
2022-06-19;0;16;5;0;79;False
2022-06-26;1;15;2;2;85;False
2022-07-03;0;17;2;2;89;False
2022-07-10;0;18;5;0;92;False
2022-07-17;1;20;5;3;88;False
2022-07-24;0;13;6;2;87;False
2022-07-31;0;53;4;1;78;False
2022-08-07;0;81;6;0;76;False
2022-08-14;0;21;5;0;75;False
2022-08-21;0;21;5;2;65;False
2022-08-28;2;15;5;2;72;False
2022-09-04;1;15;5;1;77;False
2022-09-11;0;13;7;2;67;False
2022-09-18;2;14;2;0;66;False
2022-09-25;0;15;3;1;66;False
2022-10-02;2;14;5;1;63;False
2022-10-09;1;13;5;4;62;False
2022-10-16;0;13;6;2;55;False
2022-10-23;1;16;4;2;52;False
2022-10-30;2;15;5;0;51;False
2022-11-06;0;13;6;3;58;False
2022-11-13;1;17;5;0;48;False
2022-11-20;1;17;9;1;60;False
2022-11-27;1;15;9;2;59;False
2022-12-04;0;21;8;1;50;False
2022-12-11;0;14;8;1;52;False
2022-12-18;0;19;8;1;48;False
2022-12-25;2;14;3;1;64;False
2023-01-01;1;18;7;0;74;False
2023-01-08;0;15;7;1;69;False
2023-01-15;2;15;5;4;67;False
2023-01-22;2;25;6;2;62;False
2023-01-29;1;23;5;2;67;False
