date;Montana;Venice Biennale;School funding;Ferry travel;air travel;isPartial
2022-01-02;75;1;6;8;37;False
2022-01-09;76;2;7;9;41;False
2022-01-16;70;2;7;8;32;False
2022-01-23;76;2;7;8;35;False
2022-01-30;72;3;7;10;40;False
2022-02-06;69;1;7;9;40;False
2022-02-13;69;3;5;9;40;False
2022-02-20;74;1;5;9;41;False
2022-02-27;59;2;7;8;36;False
2022-03-06;62;2;7;7;38;False
2022-03-13;63;5;7;8;37;False
2022-03-20;76;3;9;9;36;False
2022-03-27;74;4;8;10;39;False
2022-04-03;69;3;4;10;35;False
2022-04-10;77;6;4;12;31;False
2022-04-17;73;11;5;9;34;False
2022-04-24;71;10;8;9;35;False
2022-05-01;81;6;7;13;36;False
2022-05-08;71;5;8;13;37;False
2022-05-15;67;4;8;10;39;False
2022-05-22;65;4;6;10;37;False
2022-05-29;73;2;3;11;37;False
2022-06-05;67;3;7;12;42;False
2022-06-12;69;3;5;10;36;False
2022-06-19;72;3;6;11;34;False
2022-06-26;71;3;6;10;36;False
2022-07-03;64;4;6;11;38;False
2022-07-10;74;4;7;10;40;False
2022-07-17;68;3;6;14;38;False
2022-07-24;81;3;5;14;37;False
2022-07-31;73;3;4;12;34;False
2022-08-07;75;3;5;9;33;False
2022-08-14;77;3;4;9;32;False
2022-08-21;72;3;5;11;28;False
2022-08-28;72;4;6;9;31;False
2022-09-04;62;5;8;6;33;False
2022-09-11;62;3;9;8;29;False
2022-09-18;58;4;4;6;27;False
2022-09-25;61;3;7;6;28;False
2022-10-02;60;4;9;6;27;False
2022-10-09;57;4;7;6;26;False
2022-10-16;63;4;7;4;24;False
2022-10-23;63;2;4;5;22;False
2022-10-30;57;4;7;5;22;False
2022-11-06;66;5;8;5;25;False
2022-11-13;64;3;7;4;21;False
2022-11-20;54;4;6;3;26;False
2022-11-27;63;2;8;6;25;False
2022-12-04;52;1;6;4;21;False
2022-12-11;65;2;4;3;22;False
2022-12-18;94;1;3;5;21;False
2022-12-25;100;1;2;6;27;False
2023-01-01;91;2;6;8;32;False
2023-01-08;78;2;7;8;29;False
2023-01-15;85;2;8;6;29;False
2023-01-22;84;3;8;6;26;False
2023-01-29;96;2;7;6;28;False
