date;Past Lives;Donmar Warehouse;Ghislaine Maxwell;The 1975;air travel;isPartial
2022-01-02;1;2;80;7;19;False
2022-01-09;1;1;37;6;21;False
2022-01-16;0;2;46;7;16;False
2022-01-23;1;2;21;8;18;False
2022-01-30;1;1;12;11;20;False
2022-02-06;1;1;9;7;20;False
2022-02-13;1;2;19;8;20;False
2022-02-20;1;2;10;7;21;False
2022-02-27;1;2;5;7;18;False
2022-03-06;0;2;19;7;19;False
2022-03-13;1;1;5;7;19;False
2022-03-20;1;2;4;7;18;False
2022-03-27;1;2;21;8;20;False
2022-04-03;1;2;26;6;18;False
2022-04-10;1;1;30;6;15;False
2022-04-17;1;1;20;6;17;False
2022-04-24;1;1;19;8;18;False
2022-05-01;1;1;34;7;18;False
2022-05-08;1;1;10;8;19;False
2022-05-15;1;1;7;7;20;False
2022-05-22;1;2;6;5;18;False
2022-05-29;1;1;9;12;19;False
2022-06-05;0;1;6;7;21;False
2022-06-12;1;1;7;8;18;False
2022-06-19;1;1;8;7;17;False
2022-06-26;1;2;100;7;18;False
2022-07-03;1;1;37;16;19;False
2022-07-10;1;1;11;11;20;False
2022-07-17;1;2;6;10;19;False
2022-07-24;0;2;6;9;19;False
2022-07-31;1;1;3;16;17;False
2022-08-07;1;1;5;19;16;False
2022-08-14;0;2;4;14;16;False
2022-08-21;1;2;4;20;14;False
2022-08-28;1;1;3;48;15;False
2022-09-04;1;2;4;46;17;False
2022-09-11;0;1;5;19;15;False
2022-09-18;1;1;5;14;14;False
2022-09-25;1;2;3;18;14;False
2022-10-02;1;2;4;18;14;False
2022-10-09;1;3;3;38;13;False
2022-10-16;1;2;12;33;12;False
2022-10-23;1;2;5;18;11;False
2022-10-30;0;3;3;17;11;False
2022-11-06;0;2;3;22;12;False
2022-11-13;0;2;5;19;10;False
2022-11-20;1;1;14;18;13;False
2022-11-27;1;2;28;27;13;False
2022-12-04;0;1;8;21;11;False
2022-12-11;1;1;5;26;11;False
2022-12-18;1;1;5;24;10;False
2022-12-25;1;1;7;22;14;False
2023-01-01;0;2;4;31;16;False
2023-01-08;1;2;4;85;15;False
2023-01-15;1;2;5;66;14;False
2023-01-22;1;2;27;58;13;False
2023-01-29;2;2;5;40;14;False
