date;romania;Bono;Queen Victoria;Tottenham Hotspur Women;air travel;isPartial
2022-01-02;45;9;12;0;9;False
2022-01-09;44;7;16;0;10;False
2022-01-16;46;9;14;0;8;False
2022-01-23;50;8;12;0;9;False
2022-01-30;51;9;20;0;10;False
2022-02-06;47;8;17;0;10;False
2022-02-13;49;7;13;0;10;False
2022-02-20;89;8;15;0;10;False
2022-02-27;93;7;11;0;9;False
2022-03-06;79;7;11;0;9;False
2022-03-13;54;12;12;0;9;False
2022-03-20;63;7;11;0;9;False
2022-03-27;61;6;12;0;10;False
2022-04-03;50;6;11;0;9;False
2022-04-10;48;6;12;0;8;False
2022-04-17;49;6;13;0;8;False
2022-04-24;47;6;13;0;9;False
2022-05-01;50;6;13;0;9;False
2022-05-08;60;11;14;0;9;False
2022-05-15;51;8;16;0;10;False
2022-05-22;45;6;19;0;9;False
2022-05-29;52;6;39;0;9;False
2022-06-05;58;6;25;0;10;False
2022-06-12;49;6;15;0;9;False
2022-06-19;45;7;13;0;8;False
2022-06-26;46;16;12;0;9;False
2022-07-03;45;8;15;0;10;False
2022-07-10;49;8;14;0;10;False
2022-07-17;46;8;10;0;9;False
2022-07-24;47;7;12;0;9;False
2022-07-31;45;6;12;0;8;False
2022-08-07;45;6;11;0;8;False
2022-08-14;40;7;11;0;8;False
2022-08-21;42;6;11;0;7;False
2022-08-28;40;7;12;0;8;False
2022-09-04;39;6;76;0;8;False
2022-09-11;45;5;81;0;7;False
2022-09-18;46;6;100;0;7;False
2022-09-25;47;6;23;0;7;False
2022-10-02;43;9;16;0;7;False
2022-10-09;41;8;14;0;6;False
2022-10-16;43;8;17;0;6;False
2022-10-23;43;30;14;0;6;False
2022-10-30;43;19;14;0;5;False
2022-11-06;45;10;22;0;6;False
2022-11-13;45;13;19;0;5;False
2022-11-20;47;9;15;0;6;False
2022-11-27;49;9;14;0;6;False
2022-12-04;48;23;11;0;5;False
2022-12-11;45;13;11;0;6;False
2022-12-18;42;8;17;0;5;False
2022-12-25;64;11;12;0;7;False
2023-01-01;45;8;15;0;8;False
2023-01-08;45;7;19;0;7;False
2023-01-15;47;7;14;0;7;False
2023-01-22;50;7;12;0;7;False
2023-01-29;48;8;12;0;7;False
