date;Michelin Guide;Politics past;Michaela Coel;Dementia;air travel;isPartial
2022-01-02;2;1;1;62;12;False
2022-01-09;2;1;1;67;13;False
2022-01-16;2;1;1;63;10;False
2022-01-23;2;0;0;65;11;False
2022-01-30;2;1;1;67;13;False
2022-02-06;2;1;1;63;12;False
2022-02-13;9;0;1;64;13;False
2022-02-20;3;1;1;64;13;False
2022-02-27;3;1;1;63;11;False
2022-03-06;2;1;1;58;12;False
2022-03-13;2;1;1;76;12;False
2022-03-20;3;1;1;63;11;False
2022-03-27;2;1;1;73;12;False
2022-04-03;2;1;1;64;11;False
2022-04-10;2;1;1;54;10;False
2022-04-17;2;1;1;56;10;False
2022-04-24;2;1;1;70;11;False
2022-05-01;3;2;1;66;11;False
2022-05-08;2;2;1;65;12;False
2022-05-15;2;2;1;83;12;False
2022-05-22;2;2;1;65;11;False
2022-05-29;2;1;1;53;12;False
2022-06-05;2;2;0;67;13;False
2022-06-12;2;2;0;59;12;False
2022-06-19;2;1;1;60;11;False
2022-06-26;2;0;1;55;11;False
2022-07-03;2;0;0;55;12;False
2022-07-10;2;0;1;57;12;False
2022-07-17;2;0;0;64;12;False
2022-07-24;2;0;2;62;12;False
2022-07-31;2;0;0;58;10;False
2022-08-07;2;0;1;61;10;False
2022-08-14;2;0;1;60;10;False
2022-08-21;3;0;1;58;9;False
2022-08-28;2;0;1;56;10;False
2022-09-04;2;0;1;56;10;False
2022-09-11;3;0;1;61;9;False
2022-09-18;2;0;2;57;9;False
2022-09-25;2;0;1;62;9;False
2022-10-02;2;0;2;83;8;False
2022-10-09;2;1;1;95;8;False
2022-10-16;3;1;1;81;7;False
2022-10-23;2;0;2;68;7;False
2022-10-30;2;1;7;64;7;False
2022-11-06;2;1;2;66;8;False
2022-11-13;2;0;2;65;6;False
2022-11-20;2;1;1;63;8;False
2022-11-27;2;1;1;75;8;False
2022-12-04;1;1;1;58;7;False
2022-12-11;2;0;1;57;7;False
2022-12-18;2;0;0;59;6;False
2022-12-25;2;0;1;59;9;False
2023-01-01;3;1;0;64;10;False
2023-01-08;3;1;1;80;9;False
2023-01-15;2;1;0;100;9;False
2023-01-22;4;1;1;77;8;False
2023-01-29;2;1;2;77;9;False
