date;Low-traffic neighbourhoods;College basketball;Rhod Gilbert;lula da silva;air travel;isPartial
2023-01-01;0;5;45;10;34;False
2023-01-02;0;29;62;5;41;False
2023-01-03;0;5;100;4;26;False
2023-01-04;0;5;45;0;40;False
2023-01-05;0;3;21;2;33;False
2023-01-06;0;5;14;0;33;False
2023-01-07;0;3;23;0;24;False
2023-01-08;0;8;15;0;38;False
2023-01-09;0;6;12;4;22;False
2023-01-10;0;6;4;0;36;False
2023-01-11;0;6;19;0;40;False
2023-01-12;0;4;14;0;34;False
2023-01-13;0;2;14;0;27;False
2023-01-14;0;4;34;0;25;False
2023-01-15;0;7;11;2;30;False
2023-01-16;0;10;8;0;31;False
2023-01-17;0;5;7;0;25;False
2023-01-18;0;4;23;0;36;False
2023-01-19;0;2;24;0;33;False
2023-01-20;0;4;16;0;27;False
2023-01-21;0;0;13;0;28;False
2023-01-22;0;5;11;0;32;False
2023-01-23;0;4;12;0;32;False
2023-01-24;0;6;18;0;25;False
2023-01-25;0;5;9;4;34;False
2023-01-26;0;3;10;2;31;False
2023-01-27;0;6;7;0;21;False
2023-01-28;0;8;11;0;30;False
2023-01-29;0;3;21;0;27;False
2023-01-30;0;3;15;0;45;False
2023-01-31;0;0;14;0;38;False
