date;jacob rees-mogg;brixton concert crush;cryptocurrencies;Centrelink debt recovery;air travel;isPartial
2022-01-02;2;0;15;0;87;False
2022-01-09;11;0;6;0;100;False
2022-01-16;3;0;12;0;74;False
2022-01-23;12;0;9;0;82;False
2022-01-30;6;2;10;0;93;False
2022-02-06;11;0;9;0;93;False
2022-02-13;2;0;6;0;94;False
2022-02-20;3;0;6;0;95;False
2022-02-27;2;1;10;0;83;False
2022-03-06;0;0;9;0;88;False
2022-03-13;2;0;9;0;87;False
2022-03-20;2;0;8;0;85;False
2022-03-27;2;0;10;0;90;False
2022-04-03;2;0;4;0;84;False
2022-04-10;3;0;7;0;71;False
2022-04-17;10;0;8;0;78;False
2022-04-24;8;0;10;0;82;False
2022-05-01;6;0;10;0;84;False
2022-05-08;8;1;12;0;87;False
2022-05-15;4;0;8;0;90;False
2022-05-22;4;0;8;0;85;False
2022-05-29;0;0;7;0;87;False
2022-06-05;5;0;6;0;97;False
2022-06-12;2;0;8;0;87;False
2022-06-19;2;0;6;0;79;False
2022-06-26;2;0;6;0;85;False
2022-07-03;27;0;7;0;89;False
2022-07-10;13;1;5;0;92;False
2022-07-17;5;0;4;0;88;False
2022-07-24;5;0;5;0;87;False
2022-07-31;4;0;5;0;78;False
2022-08-07;2;0;5;0;76;False
2022-08-14;2;0;4;0;75;False
2022-08-21;2;0;3;0;65;False
2022-08-28;4;0;2;0;72;False
2022-09-04;32;0;4;0;77;False
2022-09-11;4;0;8;0;67;False
2022-09-18;13;0;5;0;66;False
2022-09-25;6;0;5;0;66;False
2022-10-02;14;0;5;0;63;False
2022-10-09;18;3;5;0;62;False
2022-10-16;17;0;2;0;55;False
2022-10-23;56;0;7;0;52;False
2022-10-30;3;1;5;0;51;False
2022-11-06;2;0;6;0;58;False
2022-11-13;3;0;8;0;48;False
2022-11-20;5;0;4;0;60;False
2022-11-27;2;0;8;0;59;False
2022-12-04;1;0;5;0;50;False
2022-12-11;3;3;5;0;52;False
2022-12-18;1;2;8;0;48;False
2022-12-25;1;1;4;0;64;False
2023-01-01;0;0;5;0;74;False
2023-01-08;3;1;3;0;69;False
2023-01-15;2;1;3;0;67;False
2023-01-22;4;1;3;0;62;False
2023-01-29;4;0;3;0;67;False
