date;Jofra Archer;south africa;new jersey;Arizona Cardinals;air travel;isPartial
2022-01-02;0;69;8;1;5;False
2022-01-09;0;68;8;1;6;False
2022-01-16;0;56;7;1;4;False
2022-01-23;0;51;7;0;5;False
2022-01-30;0;39;9;0;6;False
2022-02-06;0;38;8;0;6;False
2022-02-13;1;42;7;0;6;False
2022-02-20;0;43;7;0;6;False
2022-02-27;0;42;6;0;5;False
2022-03-06;0;42;6;0;5;False
2022-03-13;0;47;7;0;5;False
2022-03-20;0;46;6;0;5;False
2022-03-27;0;54;6;0;5;False
2022-04-03;0;43;6;0;5;False
2022-04-10;0;40;6;0;4;False
2022-04-17;0;35;6;0;5;False
2022-04-24;0;38;6;0;5;False
2022-05-01;0;43;7;0;5;False
2022-05-08;0;39;7;0;5;False
2022-05-15;1;35;7;0;5;False
2022-05-22;0;36;8;0;5;False
2022-05-29;1;34;7;0;5;False
2022-06-05;0;52;7;0;6;False
2022-06-12;0;63;7;0;5;False
2022-06-19;1;48;7;0;5;False
2022-06-26;1;69;6;0;5;False
2022-07-03;1;68;6;0;5;False
2022-07-10;1;75;7;0;6;False
2022-07-17;0;86;7;0;5;False
2022-07-24;0;92;7;0;5;False
2022-07-31;0;67;7;0;5;False
2022-08-07;0;52;8;0;5;False
2022-08-14;0;84;6;0;4;False
2022-08-21;1;100;7;0;4;False
2022-08-28;0;49;7;1;4;False
2022-09-04;0;78;6;0;5;False
2022-09-11;0;76;6;1;4;False
2022-09-18;0;44;6;1;4;False
2022-09-25;0;52;6;1;4;False
2022-10-02;0;75;6;1;4;False
2022-10-09;0;55;7;0;4;False
2022-10-16;0;41;8;1;3;False
2022-10-23;0;50;7;0;3;False
2022-10-30;0;96;7;1;3;False
2022-11-06;0;61;7;1;3;False
2022-11-13;1;54;7;0;3;False
2022-11-20;1;89;6;0;4;False
2022-11-27;0;47;7;0;4;False
2022-12-04;0;35;6;0;3;False
2022-12-11;0;33;6;1;3;False
2022-12-18;0;38;7;0;3;False
2022-12-25;0;45;8;1;4;False
2023-01-01;1;46;7;0;4;False
2023-01-08;1;43;7;1;4;False
2023-01-15;0;50;7;0;4;False
2023-01-22;1;59;7;0;4;False
2023-01-29;1;79;8;0;4;False
