date;pollution;Dr Dre;Veganism;mortgage;air travel;isPartial
2022-01-02;2;2;0;48;2;False
2022-01-09;4;1;0;48;2;False
2022-01-16;3;1;0;44;1;False
2022-01-23;3;1;0;45;2;False
2022-01-30;3;1;0;51;2;False
2022-02-06;3;1;0;43;2;False
2022-02-13;2;9;0;41;2;False
2022-02-20;2;2;0;41;2;False
2022-02-27;3;1;0;37;2;False
2022-03-06;3;1;0;39;2;False
2022-03-13;3;1;0;43;2;False
2022-03-20;5;1;0;42;2;False
2022-03-27;3;1;0;38;2;False
2022-04-03;2;1;0;39;2;False
2022-04-10;2;1;0;36;1;False
2022-04-17;2;1;0;37;1;False
2022-04-24;4;1;0;40;2;False
2022-05-01;3;1;0;45;2;False
2022-05-08;3;1;0;41;2;False
2022-05-15;3;1;0;41;2;False
2022-05-22;2;1;0;39;2;False
2022-05-29;2;1;0;32;2;False
2022-06-05;2;1;0;44;2;False
2022-06-12;3;1;0;48;2;False
2022-06-19;2;1;0;44;1;False
2022-06-26;2;1;0;40;2;False
2022-07-03;2;1;0;42;2;False
2022-07-10;2;1;0;37;2;False
2022-07-17;2;1;0;36;2;False
2022-07-24;2;1;0;44;2;False
2022-07-31;2;1;0;56;1;False
2022-08-07;2;1;0;43;1;False
2022-08-14;3;1;0;41;1;False
2022-08-21;2;1;0;43;1;False
2022-08-28;2;1;0;42;1;False
2022-09-04;2;2;0;40;1;False
2022-09-11;3;1;0;40;1;False
2022-09-18;2;1;0;49;1;False
2022-09-25;2;1;0;100;1;False
2022-10-02;2;1;0;72;1;False
2022-10-09;2;1;0;55;1;False
2022-10-16;2;1;0;56;1;False
2022-10-23;2;1;0;44;1;False
2022-10-30;2;1;0;55;1;False
2022-11-06;3;1;0;49;1;False
2022-11-13;3;1;0;44;1;False
2022-11-20;2;1;0;30;1;False
2022-11-27;3;1;0;31;1;False
2022-12-04;3;1;0;30;1;False
2022-12-11;2;1;0;29;1;False
2022-12-18;1;1;0;28;1;False
2022-12-25;1;1;0;28;1;False
2023-01-01;2;1;0;46;1;False
2023-01-08;2;1;0;55;1;False
2023-01-15;3;1;0;48;1;False
2023-01-22;3;1;0;48;1;False
2023-01-29;3;1;0;54;1;False
