date;west midlands;Chester;Cyril Ramaphosa;Science fiction and fantasy films;air travel;isPartial
2022-01-02;18;84;0;0;4;False
2022-01-09;19;82;0;0;5;False
2022-01-16;18;77;0;0;3;False
2022-01-23;18;75;0;0;4;False
2022-01-30;19;78;0;0;4;False
2022-02-06;18;80;0;0;4;False
2022-02-13;22;84;0;0;4;False
2022-02-20;20;88;0;0;4;False
2022-02-27;17;72;0;0;4;False
2022-03-06;18;83;0;0;4;False
2022-03-13;18;82;0;0;4;False
2022-03-20;19;83;0;0;4;False
2022-03-27;18;76;0;0;4;False
2022-04-03;18;79;0;0;4;False
2022-04-10;21;94;0;0;3;False
2022-04-17;20;78;0;0;4;False
2022-04-24;19;77;0;0;4;False
2022-05-01;20;94;0;0;4;False
2022-05-08;17;75;0;0;4;False
2022-05-15;18;83;0;0;4;False
2022-05-22;18;81;0;0;4;False
2022-05-29;20;89;0;0;4;False
2022-06-05;18;84;0;0;4;False
2022-06-12;19;90;0;0;4;False
2022-06-19;22;87;0;0;4;False
2022-06-26;19;79;0;0;4;False
2022-07-03;19;91;0;0;4;False
2022-07-10;21;91;0;0;4;False
2022-07-17;22;95;0;0;4;False
2022-07-24;25;100;0;0;4;False
2022-07-31;26;94;0;0;4;False
2022-08-07;26;97;0;0;4;False
2022-08-14;23;91;0;0;3;False
2022-08-21;23;97;0;0;3;False
2022-08-28;21;93;0;0;3;False
2022-09-04;19;84;0;0;4;False
2022-09-11;19;79;0;0;3;False
2022-09-18;19;79;0;0;3;False
2022-09-25;18;88;0;0;3;False
2022-10-02;18;82;0;0;3;False
2022-10-09;18;85;0;0;3;False
2022-10-16;18;94;0;0;3;False
2022-10-23;18;80;0;0;2;False
2022-10-30;19;83;0;0;2;False
2022-11-06;17;78;0;0;3;False
2022-11-13;17;77;0;0;2;False
2022-11-20;15;67;1;0;3;False
2022-11-27;15;84;2;0;3;False
2022-12-04;17;74;1;0;2;False
2022-12-11;18;72;0;0;2;False
2022-12-18;16;69;0;0;2;False
2022-12-25;15;73;0;0;3;False
2023-01-01;18;76;0;0;3;False
2023-01-08;16;71;0;0;3;False
2023-01-15;18;72;0;0;3;False
2023-01-22;16;79;0;0;3;False
2023-01-29;19;78;0;0;3;False
