date;Turkish food and drink;Gustav Holst;Gordon Ramsay;Medicine;air travel;isPartial
2022-01-02;0;0;26;82;8;False
2022-01-09;0;0;22;80;8;False
2022-01-16;0;0;20;75;6;False
2022-01-23;0;0;20;88;7;False
2022-01-30;0;0;21;85;8;False
2022-02-06;0;0;20;79;8;False
2022-02-13;0;0;19;76;8;False
2022-02-20;0;0;20;83;8;False
2022-02-27;0;0;17;77;7;False
2022-03-06;0;0;18;90;8;False
2022-03-13;0;0;17;92;8;False
2022-03-20;0;0;22;86;7;False
2022-03-27;0;0;24;82;8;False
2022-04-03;0;0;24;81;7;False
2022-04-10;0;0;23;76;6;False
2022-04-17;0;0;20;91;7;False
2022-04-24;0;0;19;76;7;False
2022-05-01;0;0;40;79;7;False
2022-05-08;0;0;21;82;7;False
2022-05-15;0;0;22;89;8;False
2022-05-22;0;0;17;73;7;False
2022-05-29;0;0;19;72;8;False
2022-06-05;0;0;17;84;8;False
2022-06-12;0;0;21;83;7;False
2022-06-19;0;0;19;78;7;False
2022-06-26;0;0;19;78;7;False
2022-07-03;0;0;25;76;8;False
2022-07-10;0;1;15;78;8;False
2022-07-17;0;0;17;71;8;False
2022-07-24;0;0;18;76;8;False
2022-07-31;0;0;20;73;7;False
2022-08-07;0;0;17;70;7;False
2022-08-14;0;0;15;83;6;False
2022-08-21;0;0;19;88;6;False
2022-08-28;0;0;16;76;6;False
2022-09-04;0;0;14;79;7;False
2022-09-11;0;0;14;82;6;False
2022-09-18;0;0;15;88;6;False
2022-09-25;0;0;16;93;6;False
2022-10-02;0;0;14;95;5;False
2022-10-09;0;0;15;100;5;False
2022-10-16;0;0;15;85;5;False
2022-10-23;0;0;17;78;4;False
2022-10-30;0;0;18;82;4;False
2022-11-06;0;0;19;83;5;False
2022-11-13;0;1;17;83;4;False
2022-11-20;0;0;19;80;5;False
2022-11-27;0;0;18;95;5;False
2022-12-04;0;0;17;86;4;False
2022-12-11;0;0;25;91;4;False
2022-12-18;0;0;32;93;4;False
2022-12-25;0;0;27;82;5;False
2023-01-01;0;0;21;88;6;False
2023-01-08;0;0;24;87;6;False
2023-01-15;0;0;22;94;6;False
2023-01-22;0;0;20;99;5;False
2023-01-29;0;0;19;89;6;False
