date;Ebola;scottish independence;Eggs;Newcastle;air travel;isPartial
2022-01-02;0;0;18;69;1;False
2022-01-09;0;0;18;70;1;False
2022-01-16;0;0;17;62;1;False
2022-01-23;0;0;17;64;1;False
2022-01-30;0;0;18;67;1;False
2022-02-06;1;0;18;64;1;False
2022-02-13;0;0;17;68;1;False
2022-02-20;0;0;18;58;1;False
2022-02-27;0;0;19;55;1;False
2022-03-06;0;0;21;62;1;False
2022-03-13;0;0;24;67;1;False
2022-03-20;0;0;25;51;1;False
2022-03-27;0;0;30;52;1;False
2022-04-03;0;0;40;67;1;False
2022-04-10;0;0;49;50;1;False
2022-04-17;0;0;31;63;1;False
2022-04-24;1;0;18;68;1;False
2022-05-01;0;0;19;57;1;False
2022-05-08;0;0;18;61;1;False
2022-05-15;0;0;17;76;1;False
2022-05-22;0;0;17;59;1;False
2022-05-29;0;0;15;60;1;False
2022-06-05;0;0;17;56;1;False
2022-06-12;0;1;17;57;1;False
2022-06-19;0;0;17;58;1;False
2022-06-26;0;1;16;64;1;False
2022-07-03;0;1;16;58;1;False
2022-07-10;0;0;16;60;1;False
2022-07-17;0;0;16;61;1;False
2022-07-24;0;0;16;69;1;False
2022-07-31;0;0;14;72;1;False
2022-08-07;0;0;15;69;1;False
2022-08-14;0;0;15;58;1;False
2022-08-21;0;0;15;85;1;False
2022-08-28;0;0;15;100;1;False
2022-09-04;0;0;15;56;1;False
2022-09-11;0;0;15;61;1;False
2022-09-18;0;0;15;52;1;False
2022-09-25;0;0;15;58;1;False
2022-10-02;0;0;15;61;1;False
2022-10-09;1;1;15;57;1;False
2022-10-16;1;1;15;76;1;False
2022-10-23;0;0;15;69;1;False
2022-10-30;0;0;15;56;1;False
2022-11-06;0;0;17;87;1;False
2022-11-13;1;0;17;51;1;False
2022-11-20;0;1;15;45;1;False
2022-11-27;0;0;14;46;1;False
2022-12-04;0;0;13;46;1;False
2022-12-11;0;0;14;48;1;False
2022-12-18;0;0;17;54;1;False
2022-12-25;0;0;16;70;1;False
2023-01-01;0;0;18;76;1;False
2023-01-08;0;0;18;70;1;False
2023-01-15;0;0;19;78;1;False
2023-01-22;0;0;18;82;1;False
2023-01-29;0;0;20;96;1;False
