date;Children's books: 7 and under;Paramount+;Snooker;sir ed davey;air travel;isPartial
2022-01-02;0;0;9;0;1;False
2022-01-09;0;0;36;0;1;False
2022-01-16;0;0;20;0;1;False
2022-01-23;0;0;11;0;1;False
2022-01-30;0;0;9;0;1;False
2022-02-06;0;1;16;0;1;False
2022-02-13;0;0;9;0;1;False
2022-02-20;0;0;14;0;1;False
2022-02-27;0;1;23;0;1;False
2022-03-06;0;0;16;0;1;False
2022-03-13;0;1;6;0;1;False
2022-03-20;0;0;7;0;1;False
2022-03-27;0;2;20;0;1;False
2022-04-03;0;1;14;0;1;False
2022-04-10;0;1;16;0;1;False
2022-04-17;0;1;53;0;1;False
2022-04-24;0;1;100;0;1;False
2022-05-01;0;2;84;0;1;False
2022-05-08;0;2;8;0;1;False
2022-05-15;0;2;4;0;1;False
2022-05-22;0;2;4;0;1;False
2022-05-29;0;2;4;0;1;False
2022-06-05;0;2;3;0;1;False
2022-06-12;0;3;3;0;1;False
2022-06-19;0;15;3;0;1;False
2022-06-26;0;11;3;0;1;False
2022-07-03;0;6;3;0;1;False
2022-07-10;0;5;4;0;1;False
2022-07-17;0;5;4;0;1;False
2022-07-24;0;5;4;0;1;False
2022-07-31;0;5;3;0;1;False
2022-08-07;0;5;4;0;1;False
2022-08-14;0;5;5;0;1;False
2022-08-21;0;5;4;0;1;False
2022-08-28;0;4;4;0;1;False
2022-09-04;0;4;3;0;1;False
2022-09-11;0;4;4;0;1;False
2022-09-18;0;3;5;0;1;False
2022-09-25;0;4;16;0;1;False
2022-10-02;0;4;10;0;1;False
2022-10-09;0;4;6;0;1;False
2022-10-16;0;5;14;0;1;False
2022-10-23;0;4;8;0;1;False
2022-10-30;0;4;14;0;1;False
2022-11-06;0;3;15;0;1;False
2022-11-13;0;5;32;0;1;False
2022-11-20;0;4;18;0;1;False
2022-11-27;0;5;14;0;1;False
2022-12-04;0;4;7;0;1;False
2022-12-11;0;5;15;0;1;False
2022-12-18;0;6;9;0;1;False
2022-12-25;0;7;5;0;1;False
2023-01-01;0;6;7;0;1;False
2023-01-08;0;5;40;0;1;False
2023-01-15;0;5;43;0;1;False
2023-01-22;0;5;18;0;1;False
2023-01-29;0;5;11;0;1;False
