date;Aids and HIV;NWSL;EY;will smith;air travel;isPartial
2023-01-01;0;3;25;100;31;False
2023-01-02;0;0;35;80;36;False
2023-01-03;0;0;48;75;23;False
2023-01-04;2;0;55;51;35;False
2023-01-05;0;0;62;45;29;False
2023-01-06;2;3;51;60;29;False
2023-01-07;4;2;42;67;21;False
2023-01-08;3;0;35;61;34;False
2023-01-09;6;0;56;41;20;False
2023-01-10;2;3;55;39;32;False
2023-01-11;0;0;60;78;36;False
2023-01-12;0;6;74;39;30;False
2023-01-13;3;8;60;61;24;False
2023-01-14;0;2;40;75;22;False
2023-01-15;0;7;41;85;26;False
2023-01-16;3;3;76;49;27;False
2023-01-17;0;0;80;61;22;False
2023-01-18;6;0;65;56;32;False
2023-01-19;5;0;65;53;29;False
2023-01-20;4;0;66;69;24;False
2023-01-21;0;0;35;82;25;False
2023-01-22;0;0;43;75;28;False
2023-01-23;0;0;72;62;29;False
2023-01-24;2;0;61;56;22;False
2023-01-25;7;0;66;46;30;False
2023-01-26;7;0;71;46;27;False
2023-01-27;0;0;56;66;19;False
2023-01-28;0;0;36;63;26;False
2023-01-29;0;0;46;58;24;False
2023-01-30;6;0;75;67;40;False
2023-01-31;7;0;55;62;34;False
