date;Daily Telegraph;colorado;British Museum;Manchester City Women;air travel;isPartial
2022-01-02;71;52;47;1;25;False
2022-01-09;69;34;49;0;27;False
2022-01-16;72;32;46;0;21;False
2022-01-23;71;38;58;1;23;False
2022-01-30;77;40;54;1;27;False
2022-02-06;65;34;58;2;27;False
2022-02-13;60;33;84;1;27;False
2022-02-20;71;36;70;0;27;False
2022-02-27;76;34;56;1;24;False
2022-03-06;71;28;58;1;25;False
2022-03-13;69;33;56;1;25;False
2022-03-20;66;32;57;1;24;False
2022-03-27;60;33;58;1;26;False
2022-04-03;59;32;60;1;24;False
2022-04-10;64;33;69;1;20;False
2022-04-17;64;32;56;0;23;False
2022-04-24;59;33;53;2;23;False
2022-05-01;65;38;62;1;24;False
2022-05-08;63;35;50;1;25;False
2022-05-15;61;33;62;2;26;False
2022-05-22;60;36;56;1;24;False
2022-05-29;65;36;66;1;25;False
2022-06-05;65;36;54;0;28;False
2022-06-12;62;38;56;1;24;False
2022-06-19;65;41;54;1;23;False
2022-06-26;63;42;60;0;24;False
2022-07-03;76;34;61;1;26;False
2022-07-10;72;39;62;1;26;False
2022-07-17;69;39;53;1;25;False
2022-07-24;67;39;62;1;25;False
2022-07-31;67;38;63;3;22;False
2022-08-07;72;42;62;1;22;False
2022-08-14;66;37;58;1;21;False
2022-08-21;66;35;60;2;19;False
2022-08-28;67;36;57;1;20;False
2022-09-04;77;34;53;1;22;False
2022-09-11;72;34;55;1;19;False
2022-09-18;67;30;52;1;18;False
2022-09-25;74;36;47;1;19;False
2022-10-02;68;36;54;1;18;False
2022-10-09;68;37;56;1;17;False
2022-10-16;82;37;59;1;16;False
2022-10-23;72;38;70;2;15;False
2022-10-30;68;34;57;1;15;False
2022-11-06;69;57;52;2;16;False
2022-11-13;71;39;53;1;14;False
2022-11-20;59;100;42;1;17;False
2022-11-27;66;38;47;1;17;False
2022-12-04;67;34;45;2;14;False
2022-12-11;70;36;37;3;15;False
2022-12-18;73;42;45;1;14;False
2022-12-25;71;40;72;1;18;False
2023-01-01;70;38;61;1;21;False
2023-01-08;66;34;55;1;20;False
2023-01-15;67;35;55;2;19;False
2023-01-22;68;37;56;1;18;False
2023-01-29;70;38;55;2;19;False
