date;Sunderland;Government borrowing;Cruises;Cop27;air travel;isPartial
2022-01-02;48;0;29;0;3;False
2022-01-09;54;0;32;0;3;False
2022-01-16;50;0;30;0;2;False
2022-01-23;54;0;34;0;3;False
2022-01-30;94;0;31;0;3;False
2022-02-06;66;0;31;0;3;False
2022-02-13;52;0;29;0;3;False
2022-02-20;63;0;31;0;3;False
2022-02-27;46;0;28;0;3;False
2022-03-06;49;0;28;0;3;False
2022-03-13;43;0;37;0;3;False
2022-03-20;43;0;33;0;3;False
2022-03-27;43;0;35;0;3;False
2022-04-03;42;0;33;0;3;False
2022-04-10;49;0;35;0;2;False
2022-04-17;52;0;36;0;3;False
2022-04-24;56;0;34;0;3;False
2022-05-01;64;0;37;0;3;False
2022-05-08;74;0;34;0;3;False
2022-05-15;100;0;36;0;3;False
2022-05-22;52;0;38;0;3;False
2022-05-29;54;0;39;0;3;False
2022-06-05;47;0;40;0;3;False
2022-06-12;44;0;40;0;3;False
2022-06-19;42;0;42;0;3;False
2022-06-26;46;0;43;0;3;False
2022-07-03;53;0;41;0;3;False
2022-07-10;53;0;45;0;3;False
2022-07-17;51;0;41;0;3;False
2022-07-24;55;0;50;0;3;False
2022-07-31;63;0;46;0;3;False
2022-08-07;61;0;49;0;2;False
2022-08-14;56;0;47;0;2;False
2022-08-21;68;0;44;0;2;False
2022-08-28;66;0;43;0;2;False
2022-09-04;57;0;40;0;3;False
2022-09-11;57;0;37;0;2;False
2022-09-18;43;0;35;0;2;False
2022-09-25;51;0;36;1;2;False
2022-10-02;53;0;35;2;2;False
2022-10-09;57;0;31;1;2;False
2022-10-16;60;0;33;1;2;False
2022-10-23;52;0;34;3;2;False
2022-10-30;54;0;31;6;2;False
2022-11-06;50;0;31;12;2;False
2022-11-13;42;0;27;5;2;False
2022-11-20;37;0;25;3;2;False
2022-11-27;43;0;22;1;2;False
2022-12-04;41;0;18;1;2;False
2022-12-11;54;0;19;1;2;False
2022-12-18;41;0;29;0;2;False
2022-12-25;58;0;45;0;2;False
2023-01-01;55;0;54;0;2;False
2023-01-08;49;0;54;0;2;False
2023-01-15;46;0;51;0;2;False
2023-01-22;73;0;54;0;2;False
2023-01-29;69;0;51;0;2;False
