date;Maryland;Australian immigration and asylum;Prince Harry;Soup;air travel;isPartial
2022-01-02;2;0;6;82;2;False
2022-01-09;2;0;6;66;3;False
2022-01-16;2;0;8;60;2;False
2022-01-23;2;0;5;59;2;False
2022-01-30;2;0;6;61;3;False
2022-02-06;2;0;6;51;3;False
2022-02-13;2;0;6;44;3;False
2022-02-20;2;0;6;45;3;False
2022-02-27;2;0;4;39;2;False
2022-03-06;2;0;4;40;2;False
2022-03-13;2;0;4;36;2;False
2022-03-20;2;0;5;29;2;False
2022-03-27;2;0;7;32;2;False
2022-04-03;2;0;4;33;2;False
2022-04-10;2;0;7;31;2;False
2022-04-17;2;0;10;27;2;False
2022-04-24;2;0;5;26;2;False
2022-05-01;2;0;6;30;2;False
2022-05-08;2;0;6;25;2;False
2022-05-15;2;0;4;24;2;False
2022-05-22;2;0;5;25;2;False
2022-05-29;2;0;17;25;2;False
2022-06-05;3;0;19;24;3;False
2022-06-12;2;0;7;22;2;False
2022-06-19;2;0;6;21;2;False
2022-06-26;2;0;4;23;2;False
2022-07-03;2;0;5;22;2;False
2022-07-10;2;0;4;22;3;False
2022-07-17;3;0;6;20;2;False
2022-07-24;3;0;5;24;2;False
2022-07-31;2;0;5;22;2;False
2022-08-07;2;0;4;22;2;False
2022-08-14;2;0;4;24;2;False
2022-08-21;2;0;5;29;2;False
2022-08-28;2;0;6;36;2;False
2022-09-04;2;0;62;39;2;False
2022-09-11;2;0;53;44;2;False
2022-09-18;2;0;53;49;2;False
2022-09-25;2;0;11;59;2;False
2022-10-02;2;0;8;63;2;False
2022-10-09;2;0;6;69;2;False
2022-10-16;2;0;5;63;2;False
2022-10-23;2;0;10;64;1;False
2022-10-30;2;0;7;70;1;False
2022-11-06;2;0;6;65;2;False
2022-11-13;2;0;6;59;1;False
2022-11-20;2;0;5;53;2;False
2022-11-27;2;0;7;51;2;False
2022-12-04;2;0;19;52;1;False
2022-12-11;2;0;19;60;1;False
2022-12-18;2;0;11;59;1;False
2022-12-25;2;0;9;63;2;False
2023-01-01;2;0;60;71;2;False
2023-01-08;2;0;100;65;2;False
2023-01-15;2;0;26;62;2;False
2023-01-22;2;0;13;57;2;False
2023-01-29;2;0;9;52;2;False
