date;Igor Stravinsky;Ed Davey;Deforestation;Olaf Scholz;air travel;isPartial
2022-01-02;0;8;30;3;90;False
2022-01-09;2;12;46;2;98;False
2022-01-16;1;10;50;5;77;False
2022-01-23;2;11;54;3;84;False
2022-01-30;0;9;50;5;95;False
2022-02-06;1;7;52;10;96;False
2022-02-13;0;4;38;20;96;False
2022-02-20;0;4;35;20;98;False
2022-02-27;1;4;42;20;86;False
2022-03-06;1;3;50;12;90;False
2022-03-13;0;8;49;5;90;False
2022-03-20;1;3;63;10;88;False
2022-03-27;0;6;60;5;93;False
2022-04-03;0;7;30;7;85;False
2022-04-10;1;10;15;8;74;False
2022-04-17;1;12;30;7;82;False
2022-04-24;1;19;47;5;84;False
2022-05-01;0;41;46;5;87;False
2022-05-08;2;16;50;5;89;False
2022-05-15;0;7;59;4;93;False
2022-05-22;2;8;52;5;88;False
2022-05-29;0;0;16;4;90;False
2022-06-05;0;8;42;6;100;False
2022-06-12;0;3;52;5;87;False
2022-06-19;1;20;46;2;81;False
2022-06-26;2;6;38;5;87;False
2022-07-03;0;17;37;3;92;False
2022-07-10;0;11;29;3;95;False
2022-07-17;2;3;13;6;91;False
2022-07-24;0;6;11;4;90;False
2022-07-31;2;2;3;5;81;False
2022-08-07;1;8;9;2;78;False
2022-08-14;1;2;11;4;77;False
2022-08-21;0;5;7;17;67;False
2022-08-28;0;6;13;1;74;False
2022-09-04;0;11;17;6;80;False
2022-09-11;0;4;35;9;69;False
2022-09-18;2;4;32;8;66;False
2022-09-25;0;3;36;4;68;False
2022-10-02;0;5;46;3;65;False
2022-10-09;1;7;45;2;63;False
2022-10-16;1;20;37;2;57;False
2022-10-23;1;9;26;5;53;False
2022-10-30;2;8;35;6;53;False
2022-11-06;2;15;41;3;59;False
2022-11-13;0;7;47;5;50;False
2022-11-20;0;3;38;3;62;False
2022-11-27;3;2;37;2;61;False
2022-12-04;1;3;43;2;52;False
2022-12-11;0;3;34;1;53;False
2022-12-18;2;3;15;4;50;False
2022-12-25;1;2;11;2;66;False
2023-01-01;2;3;30;2;77;False
2023-01-08;0;4;42;2;71;False
2023-01-15;0;4;48;7;69;False
2023-01-22;2;4;44;9;64;False
2023-01-29;1;6;53;3;69;False
