date;BBC World Service;Pastry;Asthma;New South Wales politics;air travel;isPartial
2022-01-02;1;38;24;0;7;False
2022-01-09;1;36;29;0;8;False
2022-01-16;1;33;25;0;6;False
2022-01-23;2;32;26;0;7;False
2022-01-30;2;31;26;0;8;False
2022-02-06;1;30;24;0;8;False
2022-02-13;1;27;23;0;8;False
2022-02-20;3;29;22;0;8;False
2022-02-27;3;26;23;0;7;False
2022-03-06;2;28;24;0;7;False
2022-03-13;2;30;25;0;7;False
2022-03-20;2;28;25;0;7;False
2022-03-27;1;26;22;0;7;False
2022-04-03;1;29;0;0;7;False
2022-04-10;2;29;0;0;6;False
2022-04-17;2;26;0;0;6;False
2022-04-24;1;26;0;0;7;False
2022-05-01;1;27;0;0;7;False
2022-05-08;1;23;0;0;7;False
2022-05-15;2;24;0;0;7;False
2022-05-22;1;24;0;0;7;False
2022-05-29;1;29;0;0;7;False
2022-06-05;1;25;0;0;8;False
2022-06-12;1;23;0;0;7;False
2022-06-19;1;23;0;0;6;False
2022-06-26;1;23;0;0;7;False
2022-07-03;1;23;0;0;7;False
2022-07-10;1;24;0;0;8;False
2022-07-17;1;21;0;0;7;False
2022-07-24;1;25;0;0;7;False
2022-07-31;1;25;0;0;6;False
2022-08-07;1;26;0;0;6;False
2022-08-14;1;24;0;0;6;False
2022-08-21;1;28;0;0;5;False
2022-08-28;1;30;0;0;6;False
2022-09-04;2;28;0;0;6;False
2022-09-11;1;31;0;0;5;False
2022-09-18;1;35;0;0;5;False
2022-09-25;2;34;0;0;5;False
2022-10-02;1;33;0;0;5;False
2022-10-09;1;36;0;0;5;False
2022-10-16;1;38;0;0;5;False
2022-10-23;2;35;0;0;4;False
2022-10-30;1;37;0;0;4;False
2022-11-06;1;36;0;0;5;False
2022-11-13;1;36;0;0;4;False
2022-11-20;2;35;0;0;5;False
2022-11-27;1;40;0;0;5;False
2022-12-04;1;42;0;0;4;False
2022-12-11;1;56;0;0;4;False
2022-12-18;2;100;0;0;4;False
2022-12-25;1;60;0;0;5;False
2023-01-01;1;34;0;0;6;False
2023-01-08;1;31;0;0;6;False
2023-01-15;1;31;0;0;6;False
2023-01-22;1;31;0;0;5;False
2023-01-29;1;30;0;0;5;False
